timestamp,Resistance,Interval,Temperature
1557970779500,3751,0.796416,29.72
1557970959900,3501,0.763232,31.7
1557970990000,3284,0.91256,31.78
1557971170500,3124,0.763232,32.21
1557971230700,3100,0.846192,32.38
1557971260800,3043,0.696864,32.47
1557971471300,2849,0.680272,32.76
1557971651800,2720,0.796416,32.76
1557971772100,2647,0.862784,32.78
1557972042900,2371,0.680272,32.65
1557972103000,2343,0.813008,32.67
1557972283600,2276,0.713456,33.12
1557972313700,2227,0.74664,33.39
1557972584300,2084,0.74664,34.64
1557972644500,2054,0.713456,34.82
1557972734800,1936,0.132736,34.74
1557973005500,1848,0.945744,34.12
1557974058400,1574,0.66368,34.11
1557974118600,1533,0.813008,33.91
1557974329100,1482,0.796416,33.68
1557974539700,1435,0.895968,33.72
1557974780300,1373,0.58072,34.24
1557974960800,1305,0.879376,34.5
1557975021000,1302,0.796416,34.58
1557975321800,1223,0.08296,34.92
1557975773000,1143,0.796416,35.28
1557975863300,1144,0.713456,35.34
1557978842300,791,0.730048,34.41
1557979143100,746,0.730048,34.0
1557979594300,723,0.91256,34.68
1557979774800,712,0.630496,34.98
1557979895100,703,0.879376,35.14
1557980075600,680,0.895968,35.24
1557980196000,673,0.813008,35.33
1557980316300,661,0.862784,35.38
1557980406500,665,0.846192,35.42
1557980917900,650,0.978928,35.61
1557981038200,662,0.862784,35.65
1557981850400,611,0.91256,35.38
1557982271600,595,0.74664,34.81
1557982963500,562,0.879376,34.73
1557983444600,586,0.99552,34.38
1557984046300,563,0.630496,34.22
1557984527600,604,0.8296,33.75
1557984948700,525,0.779824,32.69
1557984978800,507,0.862784,32.65
1557985008900,495,0.315248,32.68
1557985279600,519,0.879376,32.76
1557985430000,535,0.730048,32.57
1557985791000,533,0.647088,32.25
1557985821100,535,0.66368,32.22
1557986031600,516,0.66368,32.11
1557986272300,534,0.929152,31.86
1557986753600,484,0.696864,32.3
1557991476600,303,0.696864,34.06
1557991627000,381,0.813008,34.14
