timestamp,Resistance,Interval,Temperature
1557281213000,820,0.680272,32.54
1557281453700,696,0.74664,33.76
1557281754500,300,0.398208,34.17
1557281935000,367,0.298656,34.3
1557281965100,390,0.282064,34.23
1557282055300,336,0.132736,34.19
1557282085400,344,0.879376,34.28
1557282506600,400,0.779824,35.08
1557282928000,487,0.680272,34.95
1557283288700,513,0.879376,35.25
1557283348800,519,0.680272,35.28
1557283950500,745,0.680272,34.83
1557284010600,734,0.846192,34.46
1557284251300,866,0.945744,33.74
1557284281400,872,0.696864,33.79
1557284612300,858,0.58072,34.0
1557284792800,868,0.66368,34.21
1557285544900,293,0.696864,34.22
1557286116500,585,0.74664,34.53
1557286417200,679,0.730048,34.64
1557286447400,734,0.696864,34.64
1557286658000,712,0.763232,34.54
1557287410000,340,0.58072,33.85
1557287440000,337,0.647088,33.87
1557287801000,823,0.630496,33.41
1557287951500,539,0.696864,33.36
1557287981600,570,0.74664,33.34
1557288553200,410,0.58072,33.71
1557288583300,396,0.613904,33.72
1557288763700,420,0.696864,33.73
1557288793700,458,0.514352,33.67
1557288854000,456,0.530944,33.72
1557288944200,497,0.613904,33.74
1557289094600,363,0.779824,33.78
1557289214900,374,0.58072,33.76
1557289936900,369,0.696864,33.87
1557290358000,488,0.796416,33.74
1557290598700,513,0.813008,33.85
1557290959600,510,0.730048,34.21
1557291410900,553,0.630496,33.66
1557291892200,660,0.813008,34.32
1557294118300,585,0.895968,34.09
1557294238600,558,0.696864,33.97
1557294870300,708,0.680272,34.38
1557294990600,663,0.647088,34.39
1557295141100,816,0.630496,34.49
1557297006100,1022,0.763232,35.19
1557297036200,1015,0.597312,35.21
1557297246800,790,0.696864,35.15
1557297788300,862,0.613904,35.01
1557298119300,971,0.597312,33.96
1557298179300,972,1.095072,33.06
1557298660600,348,0.879376,32.84
1557298901300,396,0.713456,32.99
1557300345200,396,0.779824,32.99
1557300946900,439,0.66368,33.6
1557301127400,460,0.564128,33.73
1557301518500,498,0.564128,33.46
1557302090000,430,0.945744,33.74
1557302120100,412,0.8296,33.7
1557302330700,386,0.613904,33.26
1557314753600,3011,0.66368,34.05
1557316979800,242,0.4148,32.11
1557317131200,231,0.49776,31.92
1557317310800,210,0.730048,31.54
1557317371000,287,0.597312,31.57
1557317882400,384,0.647088,32.52
1557318243400,334,0.8296,32.94
1557318393800,327,0.58072,32.86
1557319176000,1482,0.713456,33.94
1557319837700,555,0.763232,33.85
1557320680000,405,0.945744,33.64
1557320830400,401,0.779824,33.71
1557320860500,409,1.07848,33.73
1557320890600,415,0.66368,33.69
1557320920700,414,0.713456,33.64
1557321402000,333,0.813008,33.97
1557321732900,336,0.813008,34.01
1557321763000,340,0.779824,33.98
1557322244300,308,0.763232,34.18
1557324380100,288,0.779824,33.92
1557325011800,300,0.613904,32.16
1557325583400,322,0.879376,29.55
1557325673600,293,0.846192,30.14
1557325884200,303,0.978928,29.73
1557327389100,471,0.796416,29.42
1557327419100,471,0.91256,29.47
1557327449700,502,0.680272,29.53
1557327479700,528,0.813008,29.57
1557327540300,569,0.763232,29.55
1557327570300,588,0.8296,29.47
1557327599700,993,0.862784,29.52
1557327629700,769,0.613904,29.58
1557327660300,713,0.929152,29.63
1557327690300,660,1.111664,29.61
1557327719700,635,0.763232,29.62
1557327750900,626,0.530944,29.62
1557327780300,652,0.99552,29.63
1557327812100,725,0.74664,29.59
1557327840900,671,0.779824,29.56
1557327870300,723,0.547536,29.51
1557327900300,666,0.879376,29.43
1557327930900,799,0.696864,29.4
1557327989900,693,0.597312,29.53
1557329072900,344,0.8296,31.92
1557329313600,334,0.763232,30.62
1557329494000,421,0.265472,30.83
1557329524100,468,0.796416,30.87
1557329855100,425,0.813008,30.99
1557329885100,440,0.763232,30.96
1557329975500,442,0.796416,30.97
1557330366400,654,0.713456,30.61
1557330486800,560,0.879376,30.59
1557330697300,590,0.929152,30.52
1557330727500,594,0.398208,30.34
1557332261900,346,0.713456,30.07
1557365051500,332,0.846192,33.34
1557365231800,441,0.647088,33.11
1557365412300,415,0.862784,32.96
1557368480700,1101,0.929152,34.06
1557368871600,1398,0.74664,34.09
1557369413200,1209,0.779824,34.17
1557370105100,1337,0.978928,33.88
1557372180800,1251,0.265472,33.38
1557372210900,1222,0.464576,33.42
1557372241100,1239,0.58072,33.43
1557372301100,1189,0.763232,33.49
1557372601900,1274,0.895968,33.58
1557373113300,1368,0.696864,33.87
1557373775100,1189,0.91256,33.11
1557374948300,360,0.116144,32.13
