timestamp,Resistance,Interval,Temperature
1556596630500,2574,0.49776,30.46
1556597202100,5430,0.74664,30.77
1556597352500,4988,0.74664,31.13
1556597623200,4368,0.779824,31.63
1556597803700,4081,0.763232,32.03
1556598285000,3525,0.8296,32.72
1556598495600,3366,0.962336,32.86
1556599187500,2915,0.813008,33.39
1556599307800,3003,0.929152,33.31
1556599458200,2782,1.095072,33.76
1556599578500,2727,0.763232,33.76
1556599759000,2657,0.779824,33.69
1556599909400,2605,0.879376,33.67
1556600120000,2462,0.99552,33.58
1556601594700,2119,0.929152,33.19
1556601654800,2103,0.978928,33.22
1556601684900,2112,0.8296,33.24
1556601985700,2133,0.58072,33.2
1556603189000,2034,0.945744,32.25
1556603580100,1907,0.945744,32.12
1556604031300,2126,1.061888,32.12
1556604512600,1989,0.8296,32.09
1556605084100,1913,0.547536,32.19
1556605144300,1894,0.862784,32.2
1556605445100,1848,0.962336,32.31
1556605505300,4278,0.74664,32.27
1556605655700,4271,0.8296,32.35
1556605806100,4312,1.111664,32.29
1556605926400,4063,1.028704,32.34
1556606257300,3447,0.730048,31.89
1556607580900,321,0.91256,29.9
1556609716800,724,0.58072,31.99
1556610559100,262,0.779824,30.64
1556610829800,341,1.128256,30.05
1556611371300,389,0.647088,29.76
1556611672100,513,0.91256,30.02
1556612394100,775,0.846192,31.65
1556613176200,370,0.630496,30.24
1556613446900,451,0.879376,31.28
1556613777800,494,1.095072,32.53
1556614168900,485,0.647088,33.05
1556617501900,5564,0.647088,32.8
1556617622200,4461,0.696864,33.19
1556617682400,4244,0.74664,33.33
1556617714200,4211,0.647088,33.4
1556617743600,3586,0.846192,33.49
1556617773500,3729,0.879376,33.5
1556617803000,3686,0.530944,33.51
1556617834100,3597,0.779824,33.53
1556617863500,3452,0.763232,33.54
1556617894200,3334,0.730048,33.58
1556617923500,3262,1.277584,33.58
1556617953500,3201,0.929152,33.62
1556617984100,3100,0.779824,33.67
1556618014700,3075,0.696864,33.7
1556618044800,2889,0.813008,33.71
1556618075400,3023,0.713456,33.71
1556618104100,2946,0.74664,33.76
1556618134700,3031,0.66368,33.79
1556618165400,3075,0.613904,33.82
1556618196500,3051,0.846192,33.85
1556618224100,3055,0.66368,33.88
1556618254700,3007,0.730048,33.88
1556618284800,2893,0.730048,33.91
1556618314100,2889,0.597312,33.86
1556618374600,2860,0.713456,33.78
1556618404900,2835,0.796416,33.76
1556618466300,2764,0.813008,33.7
1556618496000,2700,0.763232,33.69
1556618526800,2602,0.597312,33.61
1556618555100,2666,0.66368,33.58
1556618585800,2586,0.680272,33.54
1556618615100,2558,0.730048,33.46
1556618646300,2580,0.763232,33.43
1556618705800,2518,0.730048,33.4
1556618735600,2500,0.730048,33.35
1556618765800,2480,0.680272,33.31
1556618825800,2515,0.713456,33.3
1556618855600,2500,0.74664,33.28
1556618916000,2465,0.730048,33.2
1556618946300,2482,0.730048,33.17
1556618977000,2453,0.846192,33.16
1556619036500,2450,0.779824,33.13
1556619066300,2439,0.846192,33.11
1556619096500,2390,0.763232,33.08
1556619130600,2421,0.779824,33.06
