timestamp,Resistance,Interval,Temperature
1557274054500,1692,0.862784,32.4
1557275257800,6198,0.680272,32.48
1557275739100,6447,0.796416,32.92
1557275889500,5005,0.74664,32.91
1557275919600,5014,0.945744,32.92
1557277544000,3551,0.779824,33.53
1557279318900,3870,0.763232,31.87
1557280070900,3188,0.879376,32.04
1557281755500,2543,0.929152,31.51
1557281936000,2387,0.91256,31.43
1557282146600,2580,0.91256,31.44
1557282297000,2468,0.99552,31.46
1557282447400,2459,0.879376,31.31
1557283169400,3385,0.58072,29.62
1557285154800,1725,0.66368,30.51
1557286087400,1773,0.66368,31.09
1557286538700,1866,0.66368,31.34
1557286568700,1929,0.680272,31.4
1557286598800,1929,0.763232,31.44
1557286659000,1942,0.862784,31.48
1557286929700,6380,0.49776,31.15
1557287200400,3602,0.431392,31.51
1557287471200,388,0.66368,31.75
1557287922400,325,0.481168,31.23
1557288283400,656,0.033184,29.99
1557288704500,479,0.49776,32.08
1557288734600,445,0.232288,32.06
1557288764700,417,0.779824,31.95
1557294089300,2546,0.779824,32.72
1557294119400,2549,0.8296,32.7
1557294269800,1612,0.49776,32.97
1557295142200,2491,0.763232,33.69
1557295202400,2637,0.680272,33.73
1557295232400,2782,0.862784,33.75
1557296044600,2020,0.8296,33.99
1557296255200,3067,0.796416,33.96
1557297007300,1931,0.895968,34.23
1557298000000,1739,0.696864,32.71
1557299353700,2261,0.713456,30.93
1557299443900,3248,0.282064,30.92
1557299474000,2321,1.377136,30.92
1557299654500,2938,0.862784,30.65
1557300406500,3633,0.796416,30.6
1557300498000,3145,0.796416,30.68
1557301850500,813,0.846192,29.59
1557302452100,212,0.978928,29.41
1557302512300,204,0.680272,29.59
1557302602500,392,1.07848,30.39
1557302632600,333,0.530944,30.55
1557302783000,297,0.929152,31.38
1557302813100,346,0.348432,31.46
1557302843200,354,0.813008,31.61
1557303625300,608,0.879376,33.13
1557303805800,702,0.879376,33.09
1557303866000,710,0.929152,33.11
1557304196900,775,0.978928,33.14
1557304287100,782,1.111664,33.19
1557304467600,884,0.4148,33.21
1557304648100,741,1.061888,33.16
1557304888800,1202,0.846192,33.15
1557305129400,1265,0.879376,33.06
1557306152200,968,0.879376,33.01
1557306212400,904,0.8296,33.0
1557306543300,874,0.763232,32.94
1557306663600,862,0.929152,32.9
1557306783900,866,0.813008,32.9
1557307114900,3713,0.779824,32.87
1557307144900,3681,0.846192,32.91
1557307445700,2789,0.895968,33.21
1557307536000,2676,0.846192,33.24
1557307836800,2215,0.978928,33.34
1557308047400,9138,0.813008,31.05
1557309010000,4139,0.66368,31.22
1557310784800,1727,0.74664,31.81
1557310965300,3418,0.365024,29.65
1557310995400,7885,1.028704,29.56
1557312108500,328,0.597312,30.38
1557312529600,351,0.763232,31.42
1557312559700,346,0.696864,31.51
1557312649900,354,0.846192,31.73
1557312680000,350,0.66368,31.84
1557313191400,746,0.66368,32.34
1557313642600,344,0.763232,33.14
1557314003600,329,0.763232,34.05
1557314515100,580,0.978928,34.06
1557314545700,574,0.630496,34.01
1557314966300,550,0.647088,33.88
1557315086600,954,0.763232,33.93
1557315116700,668,0.613904,33.95
1557315447600,2442,0.763232,33.86
1557315628100,1656,0.66368,33.89
1557315658700,2789,0.199104,33.79
1557315688700,2187,0.696864,33.7
1557315718700,2782,0.730048,33.69
1557315748700,2471,0.730048,33.66
1557315779300,1902,0.680272,33.63
1557315808700,1723,0.713456,33.6
1557315838700,2477,0.8296,33.57
1557315899300,1985,0.696864,33.57
1557315959300,1745,0.647088,33.52
1557315989300,1730,0.779824,33.48
1557316019300,1927,0.846192,33.46
1557316410200,764,0.182512,32.51
1557317734000,2061,0.696864,30.94
1557318125100,1888,0.813008,30.98
1557318786800,4178,0.696864,30.87
1557318967400,3183,0.879376,31.38
1557319599000,2202,0.813008,32.19
1557322457900,1776,0.680272,32.31
1557322517300,1689,1.012112,32.14
1557322547300,1717,0.779824,32.08
1557325886400,7175,0.182512,31.96
1557326277500,8481,0.696864,31.27
1557327871900,3145,0.8296,30.06
1557328353200,2346,0.763232,30.86
1557328503600,2567,0.846192,30.84
1557328954800,2153,0.846192,31.09
1557329466200,2292,0.696864,31.93
1557329797100,1864,0.779824,32.08
1557330789800,2049,0.763232,31.39
1557331331300,1540,0.763232,31.66
1557332143500,1222,0.846192,31.33
1557332354100,1844,0.879376,31.53
1557332534600,1115,0.613904,31.2
1557375160500,1320,0.464576,30.91
1557375280800,912,0.813008,32.21
1557375431200,1377,0.813008,33.21
1557375521500,1496,0.779824,33.61
1557375581600,1544,0.630496,33.8
1557375764800,1634,0.763232,34.22
1557375793000,1642,0.74664,34.23
1557375825400,1656,0.813008,34.26
1557376073800,1675,0.862784,34.51
1557376123600,1630,0.879376,34.53
1557376183600,1630,0.962336,34.48
1557376333800,1934,0.813008,34.05
1557376363900,1963,0.796416,34.03
1557376394000,1974,0.779824,34.03
1557376875300,1429,0.298656,34.18
1557376995600,1426,0.696864,34.1
1557377416800,905,0.481168,31.27
1557377597300,409,0.813008,31.79
1557377627300,346,0.813008,31.79
1557378168800,465,0.879376,33.47
1557378710300,638,0.8296,33.91
1557378740400,626,0.763232,33.97
1557378860700,667,0.813008,34.03
1557380033900,437,0.564128,32.4
1557380545300,198,0.763232,31.04
1557380725800,282,0.813008,31.65
1557380966400,1566,0.730048,32.75
1557381177000,2082,0.91256,33.41
1557381327400,2136,1.178032,33.66
1557381387600,2126,0.846192,33.78
1557381899000,1913,0.796416,34.07
1557382109600,1691,0.66368,34.0
1557382320100,1701,0.846192,34.07
1557382500600,1627,0.779824,34.04
1557382891700,3870,0.730048,33.5
1557383162400,3235,0.846192,33.55
1557383222600,3175,0.862784,33.54
1557383373000,3039,0.796416,33.6
1557383433200,2727,0.763232,33.63
1557383463300,2803,0.8296,33.63
1557384456000,6314,0.763232,33.16
1557384726700,8752,0.049776,32.63
1557385448800,1103,0.895968,32.39
1557385478900,826,0.763232,32.43
1557385659400,679,0.862784,32.9
1557386140700,699,0.846192,33.34
1557386983000,586,0.813008,33.86
1557387313900,612,0.813008,34.18
1557387524500,682,0.895968,34.3
1557388366800,734,0.879376,34.14
1557388487100,618,0.846192,34.16
1557389690400,872,0.99552,32.98
1557389870900,931,1.128256,33.13
1557390171700,935,1.211216,33.24
1557390472600,948,0.978928,33.21
1557390833500,1020,1.012112,33.46
1557390923800,1028,1.012112,33.5
1557391044100,1037,1.012112,33.48
1557391164400,1061,0.4148,33.43
1557391406200,606,0.514352,33.0
1557391436200,601,0.813008,33.14
1557391466200,629,0.796416,33.17
1557391496200,648,0.796416,33.23
1557391526200,684,0.630496,33.21
1557391556200,710,0.74664,33.06
1557391586200,778,0.630496,32.86
1557391648600,1078,0.696864,32.38
1557391676200,1097,0.58072,32.15
1557391706200,1199,0.58072,31.97
1557391736200,1237,0.49776,31.76
1557391796800,1244,0.58072,31.44
1557391856800,801,0.58072,31.24
1557391887400,892,0.91256,31.08
1557391917400,798,0.597312,30.98
1557391946800,882,0.680272,30.9
1557391978000,908,0.613904,30.79
1557392037400,702,0.58072,30.66
1557392068000,675,0.647088,30.48
1557392098000,787,0.564128,30.43
1557392127400,611,0.66368,30.31
1557392158000,537,0.647088,30.32
1557392188000,546,0.8296,30.34
1557392218600,503,0.613904,30.33
1557392248600,459,0.597312,30.36
1557392278600,412,0.713456,30.34
1557392308000,372,0.647088,30.34
1557392338600,448,0.647088,30.32
1557392368600,379,0.696864,30.27
1557392398600,364,0.613904,30.18
1557392458600,305,0.680272,30.23
1557392488600,233,0.74664,30.15
1557392518600,362,0.564128,30.13
1557392549200,562,0.730048,30.08
1557392578600,254,0.597312,30.08
1557392609200,489,0.779824,30.05
1557392639200,455,1.111664,30.05
1557392669800,270,1.310768,30.08
1557392759800,380,0.779824,30.01
1557392789800,555,0.962336,29.92
1557392819800,284,0.796416,29.95
1557392849800,316,0.647088,29.97
1557392879800,274,1.028704,29.96
1557392909800,324,0.862784,29.97
1557392939800,341,0.978928,30.0
1557392970400,353,0.74664,30.01
1557392999800,346,0.8296,29.98
1557393031000,337,0.929152,29.89
1557393060400,372,0.647088,29.8
1557393090400,339,0.945744,29.68
1557393120400,363,0.763232,29.56
