timestamp,Resistance,Interval,Temperature
1556619284000,703,0.58072,31.75
1556619494100,748,0.680272,32.19
1556619704700,759,0.779824,32.52
1556619975500,765,0.8296,32.76
1556620065700,764,0.813008,32.8
1556620095800,757,0.779824,32.8
1556620697400,696,0.846192,33.16
1556620817700,698,0.862784,33.27
1556620908000,687,0.846192,33.36
1556621780400,673,0.846192,34.25
1556621810500,663,0.8296,34.28
1556622291800,589,0.895968,34.31
1556622442200,567,0.846192,34.24
1556622532400,554,0.895968,34.32
1556623073700,573,0.763232,34.86
1556623555000,587,0.879376,35.14
1556623795700,552,0.696864,35.55
1556625570500,644,0.962336,34.74
1556625991500,658,0.846192,34.28
1556627254900,669,0.8296,33.7
1556627315200,679,0.779824,33.72
1556627555800,700,0.779824,33.51
1556627676100,717,0.630496,33.39
1556627766300,728,0.895968,33.27
1556627946800,737,0.8296,33.12
1556628668800,780,0.8296,33.03
1556628759000,787,0.763232,32.93
1556628879400,812,0.846192,32.7
1556629300400,805,0.813008,32.3
1556629330500,804,0.564128,32.3
1556629601200,1987,0.91256,29.68
1556630022400,918,0.962336,30.12
1556630142700,907,0.74664,30.38
1556630504700,897,0.597312,31.17
1556630534100,920,0.696864,31.15
1556630594700,891,0.846192,31.21
1556630624700,874,0.763232,31.29
1556630654700,899,0.779824,31.33
1556630714700,869,0.730048,31.49
1556630775300,928,0.796416,31.62
1556630805300,913,0.879376,31.68
1556630835300,942,0.962336,31.76
1556630996100,818,0.58072,32.23
1556631019500,824,0.796416,32.28
1556632300300,794,0.365024,32.3
1556633784400,563,0.348432,33.25
1556634204700,731,0.813008,33.41
1556634415300,744,0.846192,33.5
1556634776300,852,0.879376,33.15
1556635077100,857,0.66368,33.27
1556637605100,973,0.846192,29.92
1556637875800,955,0.713456,30.77
1556637936000,929,0.929152,30.83
1556638718100,916,0.530944,31.18
1556639259600,859,0.945744,31.75
1556639560400,860,0.779824,32.11
1556675389100,9981,0.613904,31.22
1556675419100,9369,0.846192,31.18
1556676653800,9163,0.99552,31.14
1556676713700,9448,1.111664,31.09
1556676773700,7533,0.66368,31.16
1556676803800,8570,0.8296,31.18
1556676984300,7659,0.91256,31.21
1556677104300,5291,0.8296,31.28
1556677134300,5703,0.91256,31.25
1556677164900,6262,0.696864,31.24
1556678397400,4550,0.813008,31.63
1556678728300,4113,0.315248,31.62
1556678758400,4527,0.282064,31.6
1556678969000,4126,0.514352,31.67
1556679089300,4278,0.74664,31.71
1556679330000,8503,0.680272,31.29
1556679450300,5747,0.066368,31.32
1556679841400,4634,0.33184,31.5
1556680082000,4535,0.680272,31.61
1556680292600,5196,0.282064,31.7
1556680442900,4649,0.680272,31.58
1556680563200,3835,0.530944,31.56
1556681134800,4113,0.796416,31.49
1556681164900,3864,0.846192,31.47
1556681616100,3768,0.730048,31.31
1556681886800,3751,0.713456,30.84
1556682157600,3141,0.796416,30.68
1556682608800,4785,0.630496,30.38
1556682759200,3785,0.945744,30.25
