,timestamp,Resistance,Interval,Temperature
0,1558079372673,8965,0.647088,31.51
1,1558079412102,7031,0.647088,31.51
2,1558095734283,3302,0.49776,32.15
3,1558096064305,3343,0.763232,31.92
4,1558148020682,914,0.779824,30.82
5,1558181509856,1502,0.564128,29.55
6,1558181528532,1455,0.647088,29.89
7,1558183455132,2170,0.647088,28.77
8,1558184386365,1373,0.49776,30.59
9,1558187308941,737,0.846192,32.47
10,1558187394751,773,1.045296,32.52
11,1558196884365,340330,1.095072,32.82
12,1558197008073,340330,0.91256,32.56
13,1558197038762,340330,0.564128,32.48
14,1558197158677,340330,0.713456,32.38
15,1558197247499,340330,0.91256,32.29
16,1558197279274,340330,1.111664,32.22
17,1558197585366,340330,1.111664,31.6
18,1558198542814,340330,1.227808,30.5
19,1558198602261,340330,0.99552,30.47
20,1558198872091,340330,1.095072,30.31
21,1558198911625,340330,1.095072,30.27
22,1558198935634,340330,1.16144,30.26
23,1558199172552,340330,1.061888,30.27
24,1558199207446,340330,1.144848,30.27
25,1558199240047,340330,1.260992,30.28
26,1558199352760,340330,1.277584,30.34
27,1558199472960,340330,1.07848,30.4
28,1558199502886,340330,0.962336,30.42
29,1558199598418,340330,1.310768,30.34
30,1558199626568,340330,1.2444,30.32
31,1558223004239,340330,0.929152,27.95
32,1558493370766,4075,0.696864,30.14
33,1558519993959,486,0.680272,31.89
