,timestamp,Resistance,Interval,Temperature
0,1556582533800,284,0.796416,33.0
1,1556583285800,311,0.862784,33.15
2,1556583676900,315,0.879376,33.68
3,1556583767100,311,0.564128,33.74
4,1556583977700,308,0.680272,33.87
5,1556584037900,310,0.481168,33.9
6,1556584820000,311,0.597312,33.76
7,1556585993200,303,0.91256,33.67
8,1556586354200,382,0.696864,33.4
9,1556586384300,404,0.779824,33.34
10,1556586925900,340,0.564128,32.01
11,1556587467200,584,0.763232,30.87
12,1556587557500,543,0.862784,30.96
13,1556589302200,696,0.945744,31.61
14,1556589512800,739,0.862784,31.74
15,1556589633200,718,1.028704,31.74
16,1556589813600,773,0.730048,31.68
17,1556590174600,698,0.962336,31.66
18,1556590505500,710,0.796416,31.45
19,1556591829100,463,0.846192,30.68
20,1556591889200,455,0.58072,30.66
21,1556592701500,568,0.564128,30.35
22,1556592882000,493,0.713456,30.37
23,1556593814500,607,0.813008,30.92
24,1556594145400,499,0.99552,31.57
25,1556594356000,498,0.945744,31.93
26,1556594506400,986,1.128256,32.04
27,1556594897500,872,1.061888,32.64
28,1556595138100,766,0.978928,32.87
29,1556595378800,789,1.277584,33.2
30,1556597394300,789,0.8296,34.97
31,1556597665000,813,0.879376,35.18
32,1556597695100,817,0.796416,35.2
33,1556599169100,817,0.929152,35.87
34,1556599349600,776,0.895968,35.96
35,1556599740700,783,1.111664,36.18
36,1556599891100,781,0.945744,36.21
37,1556623078600,663,0.597312,27.94
38,1556623319200,1386,0.680272,28.91
39,1556623439600,1455,0.730048,29.33
40,1556623680200,1435,0.696864,30.6
41,1556623951000,1517,1.128256,31.27
42,1556624582700,2313,0.846192,31.88
43,1556625124200,2103,0.862784,31.77
44,1556625695700,3437,0.929152,31.64
45,1556625936400,2849,0.713456,31.81
46,1556626056700,2984,0.779824,31.83
47,1556626237200,2515,0.763232,32.02
48,1556626417700,2351,0.713456,32.14
49,1556626598200,2190,0.796416,32.11
50,1556626688400,2942,0.696864,32.03
51,1556626929100,4340,0.763232,31.85
52,1556627290100,2856,0.730048,31.88
53,1556627801500,2468,0.74664,31.91
54,1556628222600,2546,0.630496,31.74
55,1556628312900,2813,0.713456,31.72
56,1556628463300,2222,0.597312,31.72
57,1556628914500,3059,0.696864,31.26
58,1556628944600,3137,0.647088,31.22
59,1556629245400,3051,0.58072,31.13
60,1556629456000,2938,0.713456,31.2
61,1556630208000,1542,0.813008,31.39
62,1556630599100,1612,0.564128,31.5
63,1556630839700,2346,0.58072,31.46
64,1556630869800,2043,0.630496,31.42
65,1556630899900,2052,0.730048,31.39
66,1556631080400,1817,0.613904,31.25
67,1556631291000,1900,0.730048,31.12
68,1556631652000,664,0.713456,31.29
69,1556631742200,643,0.696864,31.57
70,1556632043000,472,0.597312,31.84
71,1556632103200,497,0.763232,31.9
72,1556632644700,388,0.779824,32.47
73,1556632734900,432,1.028704,32.54
74,1556632765000,443,0.730048,32.58
75,1556633126000,405,0.730048,32.83
76,1556633276400,390,0.779824,32.89
77,1556633456900,401,0.597312,32.73
78,1556634028400,1561,0.24888,32.92
79,1556634208900,1776,0.813008,32.44
80,1556634389400,1677,1.111664,32.45
81,1556634509800,1659,0.713456,32.52
82,1556635171600,1491,0.813008,33.1
83,1556635352100,1485,0.713456,33.25
84,1556635923600,28049,0.74664,29.54
85,1556648361600,340330,0.630496,24.36
86,1556648692500,340330,0.215696,24.84
87,1556648903100,340330,0.265472,24.84
88,1556649173800,340330,0.696864,24.77
89,1556649534800,340330,0.116144,23.58
90,1556649685200,340330,0.846192,23.55
91,1556649865700,340330,0.696864,23.64
92,1556650557600,340330,0.282064,23.92
93,1556651550300,340330,0.116144,20.74
94,1556651730800,340330,0.530944,20.4
95,1556651821000,340330,0.796416,20.48
96,1556652001500,340330,0.879376,20.67
97,1556652031600,340330,0.215696,20.7
98,1556652212100,340330,0.365024,20.48
99,1556652242200,340330,0.597312,20.46
100,1556652512900,340330,0.630496,20.28
101,1556652904000,340330,0.713456,19.16
102,1556653355200,340330,0.647088,18.34
103,1556653565800,340330,0.74664,18.13
104,1556654528400,340330,0.74664,18.56
105,1556654558500,340330,0.680272,18.58
106,1556654678800,340330,0.846192,18.93
107,1556654708900,340330,0.66368,18.98
108,1556654859300,340330,0.862784,19.09
109,1556655069900,340330,0.630496,19.16
110,1556655701600,340330,0.879376,19.16
111,1556655761800,340330,0.813008,19.13
112,1556656213000,340330,0.696864,19.28
113,1556656363400,340330,0.58072,19.23
114,1556656724400,340330,0.696864,18.79
115,1556657085400,340330,0.564128,18.86
116,1556657416300,340330,0.779824,18.58
117,1556657446400,340330,0.530944,18.51
118,1556657777300,340330,0.613904,18.38
119,1556658198400,340330,0.315248,18.22
120,1556658228500,340330,0.464576,18.26
121,1556658258600,340330,0.431392,18.3
122,1556658409000,340330,0.630496,18.16
123,1556658559400,340330,0.597312,18.14
124,1556658890300,340330,0.564128,18.23
125,1556659070800,340330,0.713456,18.5
126,1556659371600,340330,0.630496,18.79
127,1556659401700,340330,0.597312,18.72
