,timestamp,Resistance,Interval,Temperature
0,1557965555000,340330,0.58072,37.22
1,1557965885900,340330,0.696864,37.46
2,1557966036300,340330,0.779824,37.66
3,1557966066400,340330,0.564128,37.68
4,1557967059000,268,0.680272,33.23
5,1557967871400,162,0.879376,29.94
6,1557967991700,160,0.282064,30.26
7,1557968051800,159,0.282064,30.42
8,1557968232300,158,0.265472,31.06
9,1557969586000,480,0.613904,33.58
10,1557973225900,923,0.8296,34.3
11,1557974549500,1569,0.696864,33.72
12,1557976902100,340330,0.779824,35.24
13,1557977293200,305,0.630496,34.54
14,1557977323300,212,0.74664,34.42
15,1557977443600,178,0.24888,32.73
16,1557977684300,93,0.763232,33.08
17,1557977955000,159,0.447984,32.8
18,1557978225800,224,0.730048,33.24
19,1557978255800,224,0.547536,32.89
20,1557978316000,350,0.74664,32.94
21,1557978406200,484,0.630496,33.6
22,1557978526600,1013,0.49776,33.93
23,1557978646900,515,0.74664,33.85
24,1557979068000,641,0.91256,34.71
25,1558069425500,2371,0.91256,35.55
26,1558069485900,2230,0.91256,35.55
27,1558069576200,2082,0.879376,35.01
28,1558069666500,1917,0.265472,34.91
29,1558070478600,980,0.597312,34.35
30,1558070538600,1032,0.696864,34.59
31,1558070659100,1035,0.696864,34.97
32,1558071681700,291,0.8296,35.61
33,1558071922300,278,0.696864,35.77
34,1558072253500,341,0.680272,35.8
35,1558072794800,256,0.713456,35.45
36,1558073998000,303,0.763232,33.74
37,1558074238600,331,0.713456,33.32
38,1558074389000,306,0.696864,33.13
39,1558074936500,155,0.464576,32.72
40,1558074990700,213,0.796416,33.0
41,1558075081000,219,0.613904,33.17
42,1558083505600,66147,0.813008,34.95
43,1558083535700,16731,0.779824,34.83
44,1558083836600,2599,0.298656,35.35
45,1558085821900,236,0.447984,33.76
46,1558086182900,320,0.58072,33.45
47,1558088679800,620,0.862784,33.45
48,1558089100900,786,0.66368,33.38
49,1558089281400,834,0.846192,33.32
50,1558089341600,855,0.796416,33.34
51,1558089979400,904,0.929152,34.17
52,1558090123800,2009,0.929152,34.74
53,1558090184000,2009,0.895968,35.05
54,1558090274200,2105,0.862784,35.26
55,1558091086400,1784,0.564128,33.76
56,1558091357200,1630,0.763232,33.99
57,1558091507600,1607,0.879376,33.98
58,1558091958800,1413,0.298656,34.63
59,1558092019000,1393,0.796416,34.75
60,1558092109200,1367,0.199104,34.87
61,1558092199500,1396,0.895968,35.0
62,1558092620600,1486,0.779824,33.27
63,1558092771000,804,0.680272,32.38
64,1558093342600,476,0.547536,31.42
65,1558093703600,479,0.74664,32.95
66,1558093854000,606,0.796416,33.17
67,1558093974300,667,0.66368,32.83
68,1558094004400,691,0.680272,32.74
69,1558094455600,895,0.879376,33.09
70,1558094816600,1010,0.796416,33.32
71,1558094876800,1034,0.846192,33.34
72,1558095117400,1020,0.779824,33.32
73,1558095358100,722,0.713456,33.97
74,1558095658900,720,0.8296,34.47
75,1558095989800,838,0.879376,34.16
76,1558096320700,658,0.796416,34.05
77,1558096621500,639,0.813008,34.18
78,1558096681700,468,0.8296,34.19
79,1558096771900,488,0.879376,34.28
80,1558097283300,636,0.8296,34.43
81,1558097644300,801,0.182512,34.26
82,1558098185800,957,0.779824,34.69
83,1558098847600,980,0.895968,35.06
84,1558099689900,898,0.713456,34.85
85,1558100442000,473,0.49776,34.88
86,1558101224100,989,0.779824,34.03
87,1558101675300,648,0.929152,33.76
88,1558101885900,591,0.74664,33.92
89,1558103721600,340330,0.066368,33.99
90,1558145749200,2313,0.895968,31.51
91,1558145809400,2354,1.07848,31.76
92,1558146079600,2136,0.945744,32.61
93,1558146200000,2061,0.978928,32.88
94,1558146530800,1929,1.07848,33.29
95,1558146771500,1854,0.962336,33.54
96,1558146801600,1828,0.945744,33.57
97,1558147283600,2413,0.796416,33.29
98,1558147944700,1996,0.879376,32.97
99,1558148907300,2172,0.530944,31.76
100,1558149388900,2002,0.962336,31.31
101,1558149539300,1948,0.696864,30.9
102,1558151134000,1542,0.862784,31.41
103,1558151494900,1613,0.696864,31.22
104,1558151825300,1634,0.647088,30.52
105,1558152337500,1482,0.647088,30.25
106,1558155436100,3432,0.796416,30.24
107,1558155917400,4801,0.8296,29.58
108,1558155947500,4618,0.514352,29.55
109,1558156158100,7770,0.796416,29.72
110,1558156308500,7410,0.895968,30.14
111,1558156458900,6922,0.846192,30.56
112,1558156609300,6861,0.846192,30.64
113,1558156639400,9214,0.91256,30.61
114,1558156759700,8615,0.74664,30.42
115,1558157481700,3824,0.713456,31.86
116,1558157511700,4809,0.8296,31.75
117,1558157602000,5262,0.597312,31.55
118,1558157692200,6013,0.66368,31.59
119,1558157842600,5095,0.730048,31.62
120,1558163439100,6801,0.945744,32.32
121,1558163619600,6123,0.813008,32.18
122,1558163649700,5380,0.846192,32.36
123,1558165153800,13321,0.630496,32.42
124,1558165514800,340330,0.630496,33.31
125,1558165635100,15925,0.66368,32.82
126,1558165695300,13576,0.613904,32.54
127,1558165905900,340330,0.763232,31.68
128,1558165996100,31768,0.66368,30.7
129,1558174179400,959,0.763232,31.11
130,1558174510900,5032,0.879376,30.4
131,1558174541000,4468,0.74664,30.37
132,1558174691400,4403,0.680272,29.95
133,1558174751600,3976,0.846192,30.13
134,1558174992300,11720,0.713456,29.91
135,1558175022300,8917,0.713456,29.89
136,1558175654000,1186,0.879376,29.87
137,1558175714200,1118,0.66368,29.5
138,1558176225600,580,0.978928,32.27
139,1558176255700,515,0.696864,32.4
140,1558176376000,450,0.962336,32.89
141,1558176496300,508,0.846192,33.29
142,1558177188200,444,0.978928,34.21
143,1558237651400,3000,0.945744,31.51
144,1558238042400,2878,0.929152,31.6
145,1558238072500,2549,0.91256,31.69
146,1558238192800,1598,0.779824,31.81
147,1558238253000,926,0.215696,32.02
148,1558238463600,833,0.978928,32.23
149,1558239366500,391,0.696864,33.23
150,1558239486600,438,0.696864,33.36
151,1558239516700,435,0.696864,33.37
152,1558239606900,493,0.49776,33.11
153,1558239637100,487,0.481168,32.94
154,1558239667000,491,0.431392,32.77
155,1558239757500,400,0.49776,32.37
156,1558239848200,279,0.431392,31.86
157,1558239937800,238,0.365024,31.38
158,1558239968300,220,0.149328,31.27
159,1558240088500,236,0.365024,31.18
160,1558240178800,228,0.315248,31.34
161,1558240299200,195,0.464576,31.7
162,1558240329100,205,0.447984,31.8
163,1558240419400,212,0.365024,31.96
164,1558240479600,222,0.4148,32.03
165,1558240509500,219,0.348432,32.07
166,1558240539800,218,0.348432,32.1
167,1558240780000,226,0.398208,32.46
168,1558241110800,202,0.58072,33.14
169,1558243939500,912,0.647088,33.65
170,1558245142800,567,0.796416,31.72
171,1558245203300,514,0.730048,31.68
172,1558245473700,407,0.647088,30.15
173,1558245534300,370,0.464576,30.28
174,1558246105400,431,0.696864,32.07
175,1558246466600,388,0.862784,32.65
176,1558246616800,393,0.696864,32.83
177,1558246797300,420,0.680272,33.11
178,1558247338900,571,0.846192,34.94
179,1558249084200,380,0.74664,32.48
180,1558249685400,467,0.730048,30.23
181,1558249835800,420,0.862784,29.92
182,1558250136600,540,0.813008,30.79
183,1558250347200,397,0.779824,31.51
184,1558250978900,507,0.895968,33.15
185,1558251009000,519,0.846192,33.17
186,1558251490400,451,0.74664,33.76
187,1558251821200,713,0.846192,33.36
188,1558251971600,794,1.012112,33.64
189,1558252152100,767,0.879376,33.75
190,1558252272400,733,0.862784,33.81
191,1558252633400,615,0.846192,34.31
192,1558253596000,708,0.846192,32.98
193,1558253836700,915,0.962336,33.16
194,1558254679000,831,0.929152,34.49
195,1558254769200,878,1.028704,34.46
196,1558255009900,956,0.945744,34.5
197,1558255340800,971,0.879376,33.95
198,1558255942500,1279,1.07848,33.47
199,1558256183100,1039,1.012112,33.63
200,1558257957900,684,0.99552,33.24
201,1558258318900,804,0.846192,33.45
202,1558258679900,1230,0.846192,32.56
203,1558258980700,1210,1.061888,32.67
204,1558259221500,994,1.012112,32.54
205,1558259552300,1410,1.144848,32.45
206,1558259672600,1572,0.132736,32.45
207,1558259702700,1388,0.962336,32.4
208,1558260514900,1454,1.095072,33.42
209,1558260755600,1191,0.895968,33.23
210,1558260845800,1294,0.929152,32.76
211,1558260996200,1483,0.696864,31.39
212,1558261146600,1635,0.779824,30.24
213,1558261808400,1799,0.58072,30.62
214,1558262139300,1876,0.647088,30.85
215,1558262319800,1915,0.74664,31.07
216,1558262440200,1946,0.962336,30.77
217,1558262590600,1978,0.846192,29.15
218,1558262741000,2177,0.713456,27.85
219,1558262951500,2105,0.846192,28.89
220,1558263162100,2075,0.680272,29.4
221,1558263613300,3079,0.564128,29.17
222,1558263673500,2488,0.862784,29.24
223,1558263703600,2453,1.095072,29.22
224,1558263854000,2338,0.398208,29.66
225,1558264034500,2634,0.779824,29.63
226,1558264545900,2029,0.779824,30.32
227,1558264816600,2190,0.945744,31.61
228,1558264846700,2192,0.696864,31.55
229,1558265328000,1983,0.713456,32.01
230,1558265388200,2136,0.630496,31.91
231,1558266170300,2020,0.680272,32.35
232,1558317036000,5884,0.680272,31.09
233,1558317276600,4793,0.713456,31.35
234,1558317366900,4454,0.779824,31.43
235,1558318389700,2904,0.8296,31.93
236,1558318510000,2915,0.796416,32.08
237,1558319472600,2494,0.879376,32.36
238,1558319953900,2376,0.8296,32.21
239,1558320224700,2385,0.8296,32.17
240,1558320314900,2740,0.696864,31.61
241,1558320345000,2737,0.066368,31.3
242,1558320405200,2703,0.730048,30.24
243,1558320495400,3757,0.33184,28.21
244,1558320706000,2882,0.779824,27.22
245,1558321067000,2799,0.49776,26.6
246,1558321127100,2856,0.846192,26.67
247,1558321397900,2107,0.74664,26.07
248,1558321548300,913,0.530944,26.97
249,1558321969400,713,0.879376,30.92
250,1558322631200,1065,0.696864,33.49
251,1558322871900,956,0.74664,33.92
252,1558323232900,1284,0.91256,34.19
253,1558323323100,876,0.8296,34.48
254,1558323623900,1067,0.779824,34.22
255,1558324015000,1221,0.564128,30.81
256,1558324195500,368,0.730048,29.49
257,1558324466200,254,0.613904,29.59
258,1558324977600,295,0.730048,30.35
259,1558325007700,279,0.74664,30.49
260,1558325699600,350,0.680272,30.98
261,1558325850000,375,0.8296,30.87
262,1558326060600,514,0.879376,31.17
263,1558326150800,558,0.879376,31.15
264,1558326211000,578,0.597312,31.25
265,1558326301200,699,0.763232,30.98
266,1558326782500,896,0.862784,30.58
267,1558326812600,886,0.945744,30.55
268,1558327143500,901,0.895968,30.47
269,1558327233800,1088,0.929152,30.15
270,1558328106200,80920,1.061888,30.57
271,1558328286600,5224,0.91256,30.34
272,1558328707800,4063,0.846192,30.18
273,1558328858200,3133,0.895968,30.05
274,1558329189100,2828,0.945744,30.2
275,1558329219200,3149,0.895968,30.34
276,1558329520000,5884,0.879376,30.79
277,1558329730600,6699,0.66368,30.9
278,1558330482600,3940,0.763232,31.49
279,1558330572800,3917,0.929152,31.42
280,1558330633000,3882,0.929152,31.39
281,1558331054200,4291,0.879376,31.34
282,1558331445200,5150,0.713456,31.72
283,1558332889200,3231,0.929152,32.03
284,1558332979400,3320,0.962336,32.12
285,1558333340400,3847,0.962336,31.89
286,1558333851800,2889,0.796416,32.05
287,1558334393300,340330,0.8296,31.64
288,1558334453400,226555,0.481168,31.53
289,1558334664000,9638,0.862784,31.83
290,1558335295700,4319,0.713456,29.95
291,1558335626600,340330,0.298656,28.83
292,1558335656700,127000,0.381616,28.63
293,1558335716900,21505,1.111664,28.75
294,1558336378700,340330,0.813008,27.1
295,1558336619300,340330,0.779824,25.56
296,1558336829900,79313,0.74664,26.3
297,1558336980300,17285,0.8296,26.33
298,1558337311200,340330,0.796416,26.86
299,1558337521800,1675,0.696864,28.31
300,1558337702300,340330,0.149328,29.05
301,1558338003100,340330,0.8296,29.52
302,1558369891200,340330,1.211216,30.63
303,1558403524500,3934,0.978928,32.39
304,1558404577400,4044,0.962336,33.05
305,1558404908300,6062,1.028704,32.76
306,1558405239200,4603,0.763232,32.4
307,1558405359500,4565,0.879376,32.49
308,1558405690400,4211,0.879376,32.5
309,1558406502600,15062,0.862784,32.74
310,1558406893700,340330,0.74664,32.05
311,1558407405100,340330,0.8296,29.97
312,1558407886400,340330,1.144848,29.94
313,1558408247400,2271,0.613904,30.67
314,1558408698600,4100,0.862784,31.9
315,1558409089700,1325,0.630496,32.94
316,1558409300300,1168,0.730048,33.27
317,1558409571000,8917,0.696864,34.08
318,1558411977600,340330,0.862784,33.67
319,1558412519000,340330,0.779824,32.87
320,1558414023100,2049,0.813008,32.94
321,1558415406900,1211,0.647088,34.0
322,1558415437000,1228,0.763232,34.13
323,1558415587400,1332,0.630496,34.48
324,1558415888200,385,0.713456,34.74
325,1558416700400,426,0.66368,35.21
326,1558417031300,560,0.647088,34.66
327,1558417272000,532,0.813008,34.53
328,1558417572800,622,0.647088,34.41
329,1558417753300,652,0.66368,34.57
330,1558418054100,591,0.647088,34.58
331,1558419257400,697,0.713456,34.5
332,1558419468000,747,0.779824,34.72
333,1558420731400,589,0.630496,34.75
334,1558421212700,353,0.66368,32.66
335,1558421272900,303,0.696864,32.86
336,1558421393200,267,0.680272,33.33
337,1558460467300,340330,1.012112,28.88
338,1558461159200,340330,1.045296,28.95
339,1558461279500,340330,1.194624,28.93
340,1558461610400,340330,1.32736,27.26
341,1558461670600,340330,0.431392,26.82
342,1558461790900,340330,0.298656,25.99
343,1558461881100,340330,0.779824,25.33
344,1558461911200,340330,0.033184,25.17
345,1558461971400,340330,0.74664,24.94
346,1558462242100,340330,0.779824,24.42
347,1558462272200,340330,0.763232,24.39
348,1558462392500,340330,0.597312,24.32
349,1558462723400,340330,0.74664,24.2
350,1558462934000,340330,0.447984,24.1
351,1558463084400,340330,0.514352,23.89
352,1558463174700,340330,0.779824,23.85
353,1558463204700,340330,0.630496,23.85
354,1558463535600,340330,0.74664,23.76
355,1558463926700,340330,0.862784,23.44
356,1558464227500,340330,0.564128,23.56
357,1558464287700,340330,0.680272,23.46
358,1558464558400,340330,0.630496,23.29
359,1558464769000,340330,0.713456,23.19
360,1558465099900,340330,0.630496,23.13
361,1558465190100,340330,0.597312,22.96
362,1558465731600,340330,0.630496,23.11
363,1558465791800,340330,0.547536,23.13
364,1558466303200,340330,0.24888,22.93
365,1558466363300,340330,0.74664,22.92
366,1558466634100,340330,0.680272,22.98
367,1558467416200,340330,0.779824,23.05
