Timestamp,Resistance,Interval,Temperature,OldTimestamp
2019-05-09 05:09:35.200,1288,0.779824,33.47,1557378575200
2019-05-09 05:11:05.400,1539,0.91256,33.41,1557378665400
2019-05-09 05:12:05.600,1489,0.862784,33.29,1557378725600
2019-05-09 05:22:07.200,767,0.879376,30.95,1557379327200
2019-05-09 05:23:07.400,646,0.647088,30.76,1557379387400
2019-05-09 05:27:38.100,231,0.978928,30.24,1557379658100
2019-05-09 05:34:09.200,311,0.630496,29.69,1557380049200
2019-05-09 05:36:09.500,309,0.730048,29.75,1557380169500
2019-05-09 05:41:10.300,469,0.647088,30.28,1557380470300
2019-05-09 05:44:40.900,595,0.647088,30.83,1557380680900
2019-05-09 05:45:11.000,618,0.647088,31.14,1557380711000
2019-05-09 05:47:11.300,535,0.647088,31.06,1557380831300
2019-05-09 05:52:12.100,537,0.66368,30.65,1557381132100
2019-05-09 05:52:42.200,544,0.680272,30.64,1557381162200
2019-05-09 06:05:44.300,671,0.978928,31.4,1557381944300
2019-05-09 06:06:14.400,658,1.57624,31.43,1557381974400
2019-05-09 06:20:16.700,730,0.846192,31.58,1557382816700
2019-05-09 06:20:46.800,737,0.929152,31.54,1557382846800
2019-05-09 06:33:48.900,835,0.763232,32.85,1557383628900
2019-05-09 06:34:19.000,699,0.929152,32.87,1557383659000
2019-05-09 06:37:19.500,705,0.962336,33.25,1557383839500
2019-05-09 06:47:21.100,475,0.66368,32.72,1557384441100
2019-05-09 06:52:52.000,692,1.128256,32.34,1557384772000
2019-05-09 06:53:22.100,1001,0.547536,32.39,1557384802100
2019-05-09 06:55:22.400,176,0.929152,32.37,1557384922400
2019-05-09 07:14:55.600,325,1.012112,33.73,1557386095600
2019-05-09 07:15:25.700,308,1.16144,33.75,1557386125700
2019-05-09 07:18:56.300,285,0.779824,33.85,1557386336300
2019-05-09 07:23:27.000,243,0.613904,34.01,1557386607000
2019-05-09 07:45:00.500,235,0.58072,33.69,1557387900500
2019-05-09 07:55:32.200,278,0.895968,33.76,1557388532200
2019-05-09 07:56:02.300,281,0.91256,33.76,1557388562300
2019-05-09 07:58:02.600,266,0.8296,33.79,1557388682600
2019-05-09 08:01:03.100,274,0.879376,33.83,1557388863100
2019-05-09 08:02:33.400,278,0.929152,33.88,1557388953400
2019-05-09 08:04:33.700,273,0.8296,33.89,1557389073700
2019-05-09 08:09:04.400,295,0.846192,33.85,1557389344400
2019-05-09 08:17:35.800,329,0.779824,33.85,1557389855800
2019-05-09 08:27:07.400,981,0.597312,31.83,1557390427400
2019-05-09 08:34:38.600,854,0.763232,32.1,1557390878600
2019-05-10 00:46:37.500,18230,0.265472,27.34,1557449197500
2019-05-10 00:47:37.500,26489,0.846192,27.66,1557449257500
2019-05-10 00:55:38.800,418,0.846192,25.29,1557449738800
2019-05-10 01:02:09.900,194,0.680272,27.94,1557450129900
2019-05-10 01:06:10.500,230,0.696864,28.81,1557450370500
2019-05-10 01:06:40.600,232,0.779824,28.96,1557450400600
2019-05-10 01:13:11.700,309,0.74664,30.03,1557450791700
2019-05-10 01:24:13.500,390,0.680272,31.69,1557451453500
2019-05-10 01:26:43.900,448,0.862784,31.78,1557451603900
2019-05-10 01:31:44.700,471,0.74664,31.84,1557451904700
2019-05-10 01:35:15.300,460,0.779824,32.02,1557452115300
2019-05-10 01:39:46.000,600,0.929152,32.26,1557452386000
2019-05-10 01:47:47.300,708,0.696864,32.46,1557452867300
2019-05-10 01:53:48.300,609,1.808528,32.48,1557453228300
2019-05-10 01:59:19.200,629,0.713456,32.68,1557453559200
2019-05-10 01:59:49.300,622,0.796416,32.65,1557453589300
2019-05-10 02:06:20.300,703,0.862784,32.9,1557453980300
2019-05-10 02:06:50.400,734,0.74664,32.94,1557454010400
2019-05-10 02:07:50.600,642,0.962336,32.96,1557454070600
2019-05-10 02:17:52.200,921,0.796416,33.18,1557454672200
2019-05-10 02:20:52.700,982,0.696864,33.17,1557454852700
2019-05-10 02:25:53.500,1028,0.796416,33.32,1557455153500
2019-05-10 02:35:25.100,1234,1.178032,32.68,1557455725100
2019-05-10 02:40:56.000,2465,0.713456,33.05,1557456056000
2019-05-10 02:42:56.300,3362,0.49776,33.25,1557456176300
2019-05-10 02:50:27.500,638,0.315248,32.36,1557456627500
