,timestamp,Resistance,Interval,Temperature
0,1557277244800,5410,0.813008,33.19
1,1557277395200,5196,0.348432,33.58
2,1557277515500,8547,0.647088,33.74
3,1557277876500,12653,0.945744,33.42
4,1557277996800,8163,0.779824,33.58
5,1557278327700,6211,0.713456,33.94
6,1557278478100,6025,0.91256,33.96
7,1557278508200,5849,0.99552,33.99
8,1557278568400,5543,0.879376,34.03
9,1557278989500,4025,0.929152,34.05
10,1557279531000,19277,0.730048,33.63
11,1557280012300,5272,0.846192,32.47
12,1557280042400,12429,0.348432,32.43
13,1557280102600,7359,0.945744,32.36
14,1557280283000,6340,0.49776,32.16
15,1557281035100,16210,0.647088,29.84
16,1557281155400,20671,0.647088,28.79
17,1557281727000,673,0.8296,29.06
18,1557282178200,46080,0.796416,31.61
19,1557282298500,5792,0.514352,30.9
20,1557282629400,922,0.730048,29.7
21,1557282870100,9666,0.8296,28.45
22,1557282930200,28049,0.33184,27.95
23,1557283562000,4475,0.763232,28.22
24,1557284223800,390,0.696864,29.81
25,1557284644900,742,0.680272,31.16
26,1557284825400,686,0.713456,31.62
27,1557285036000,834,0.630496,31.92
28,1557285397000,1040,0.597312,32.42
29,1557285968500,589,0.630496,32.92
30,1557286479900,1442,0.564128,32.74
31,1557286780700,3546,0.779824,31.43
32,1557286810800,3390,0.696864,31.39
33,1557287201900,2803,0.713456,31.88
34,1557287322200,2480,0.66368,32.02
35,1557287472600,2365,0.680272,32.13
36,1557288525500,10770,0.564128,31.88
37,1557288736100,41226,0.696864,31.51
38,1557288796200,12562,0.962336,31.58
39,1557289067000,13075,0.813008,31.23
40,1557289879200,7623,0.730048,31.12
41,1557289909200,11487,0.696864,31.16
42,1557290932000,13422,1.045296,31.56
43,1557291172700,5481,1.061888,31.8
44,1557291443400,340330,0.779824,30.9
45,1557291864600,340330,0.763232,31.16
46,1557292195500,29567,0.613904,30.64
47,1557292526400,14937,0.232288,30.58
48,1557292767000,9265,0.298656,30.74
49,1557292797100,9317,0.696864,30.73
50,1557293489000,4291,0.696864,32.27
51,1557294211000,4910,0.796416,32.59
52,1557294301200,8941,0.713456,32.43
53,1557294511800,13786,0.8296,32.15
54,1557294602000,6922,0.730048,32.26
55,1557294782500,5440,0.763232,32.26
56,1557294993100,4417,0.713456,32.21
57,1557295053300,4231,0.730048,32.25
58,1557295143500,5301,0.796416,32.28
59,1557296316700,5522,0.763232,32.38
60,1557296527300,14753,0.813008,32.15
61,1557296707800,96523,0.696864,32.28
62,1557296798000,340330,0.597312,32.04
63,1557296888300,314080,0.730048,31.77
64,1557296978500,21629,0.763232,31.62
65,1557297760200,6236,0.713456,30.82
66,1557297790300,5826,0.696864,30.79
67,1557298181300,4410,0.8296,30.66
68,1557298783000,5301,0.91256,30.34
69,1557299354500,8394,0.813008,30.54
70,1557299775700,4152,0.763232,31.11
71,1557299835900,3876,0.779824,31.19
72,1557300226900,3352,0.680272,31.24
73,1557300317200,3976,0.74664,31.29
74,1557300888700,3266,0.763232,31.82
75,1557302152200,3591,0.613904,32.26
76,1557302362700,3556,0.796416,32.23
77,1557325424100,340330,0.879376,28.79
78,1557363417600,1400,0.8296,30.87
79,1557363477800,822,0.630496,31.3
80,1557363779100,2730,0.74664,31.06
81,1557364591300,2462,0.929152,31.22
82,1557364621400,2447,0.8296,31.28
83,1557364771800,3227,0.945744,31.54
84,1557365584000,4425,0.929152,31.6
85,1557365884800,3675,0.74664,32.62
86,1557366095400,3887,0.696864,31.78
87,1557366125500,4044,0.630496,31.57
88,1557366245800,2401,1.260992,32.38
89,1557367870200,402,0.713456,31.74
90,1557368110900,446,0.08296,31.94
91,1557368953200,719,0.66368,33.07
92,1557369043400,647,0.730048,33.23
93,1557370066200,718,0.647088,33.42
94,1557370908500,779,1.095072,33.07
95,1557371540200,927,0.796416,32.8
96,1557371570300,906,0.879376,32.78
97,1557371600400,870,0.91256,32.79
98,1557371811100,1118,0.895968,32.64
99,1557372864000,1118,0.696864,32.74
100,1557373495700,1508,0.8296,32.35
101,1557374067300,1303,0.763232,32.52
102,1557374729100,2771,0.813008,31.77
103,1557374819400,2824,0.447984,31.82
104,1557375029900,3027,0.431392,31.76
105,1557375090100,5177,0.763232,31.73
106,1557375571400,3471,0.763232,32.29
107,1557375661600,3617,0.613904,32.46
108,1557376143000,2474,0.779824,32.39
109,1557376473900,50200,0.564128,30.81
110,1557376654400,34617,0.862784,31.02
111,1557379602600,8752,0.696864,30.49
112,1557379692800,10872,0.895968,30.29
113,1557379753000,8570,0.613904,30.17
114,1557380023700,11962,0.846192,29.91
115,1557380234300,6684,0.74664,29.47
116,1557380354700,7192,0.862784,29.53
117,1557380595300,6447,0.8296,29.45
118,1557380625400,5481,0.779824,29.5
119,1557380715600,5781,0.862784,29.56
120,1557380745700,5989,0.730048,29.52
121,1557380866000,4649,0.879376,29.58
122,1557381287200,6135,0.74664,29.33
123,1557381678200,6288,0.895968,29.58
124,1557381798600,4347,0.91256,29.63
125,1557382189600,5792,0.796416,30.72
126,1557382580700,4417,0.846192,30.99
127,1557383272600,3385,0.74664,32.21
128,1557383362800,3597,0.879376,32.25
129,1557383784000,4859,0.862784,32.36
130,1557384114900,5918,1.111664,31.37
131,1557384145000,5291,0.978928,31.28
132,1557384235200,4910,1.012112,30.91
133,1557384626300,3638,0.929152,30.84
134,1557385288100,2864,0.879376,30.4
135,1557385348200,3790,0.763232,30.28
136,1557385378300,3124,0.763232,30.21
137,1557385679200,6999,0.879376,29.94
138,1557385709200,4013,0.895968,29.94
139,1557385889700,5320,0.74664,29.39
140,1557386581600,6288,0.862784,29.03
141,1557386611700,5736,0.962336,29.15
142,1557386852300,4396,0.91256,29.83
143,1557386942600,9807,0.597312,29.86
144,1557387153200,88043,0.149328,30.06
145,1557387514200,340330,0.696864,30.03
146,1557387544300,169667,0.630496,29.92
147,1557387574400,340330,0.879376,29.95
148,1557388025600,60134,0.730048,30.61
149,1557388326400,25771,0.779824,31.11
150,1557388386600,26675,0.91256,31.2
151,1557388747600,127000,0.182512,30.9
152,1557388928100,340330,0.862784,30.67
153,1557389138600,84333,0.730048,30.75
154,1557389289000,340330,0.680272,30.54
155,1557389379300,340330,0.796416,30.26
156,1557389740300,162840,0.8296,29.37
157,1557401509900,3011,0.779824,34.28
158,1557402322100,2750,0.24888,37.21
159,1557402713200,4953,0.862784,34.9
160,1557403044100,4649,0.862784,34.7
161,1557405330300,2957,1.16144,34.42
162,1557405360400,2961,1.061888,34.42
163,1557405480700,2889,1.128256,34.42
164,1557405571000,2846,1.128256,34.41
165,1557406052300,2700,1.095072,34.39
166,1557406413200,2567,1.012112,34.46
167,1557406623800,2524,1.111664,34.46
168,1557407255500,2546,1.061888,34.37
169,1557407586400,1858,1.07848,34.37
170,1557407616500,1830,1.012112,34.35
171,1557407887200,1750,1.095072,34.19
172,1557409240900,1705,0.945744,34.55
173,1557449010400,12385,0.696864,28.87
174,1557450183600,2644,0.696864,33.49
175,1557450845400,1728,0.365024,32.05
176,1557451717800,523,0.796416,31.48
177,1557452169000,1028,0.680272,31.81
178,1557454876600,949,0.929152,34.4
179,1557459389900,1894,0.630496,32.33
180,1557459600500,1842,0.680272,32.31
181,1557459630600,1793,0.696864,32.33
182,1557460412700,1844,0.597312,32.55
183,1557460442800,1671,0.74664,32.44
184,1557460533000,1427,0.647088,31.9
185,1557460713500,1084,0.514352,31.72
186,1557461164800,715,0.713456,32.07
187,1557461285100,878,0.730048,32.03
188,1557461796500,845,0.66368,33.09
189,1557461977000,855,0.630496,33.32
190,1557462127400,994,0.763232,33.52
191,1557462428200,1136,0.730048,33.78
192,1557462789200,1036,0.74664,34.09
193,1557463300600,1006,0.779824,34.29
194,1557463721700,1378,0.8296,34.32
195,1557463781900,1400,0.796416,34.33
196,1557464985200,2354,0.74664,33.33
197,1557465015300,2022,0.597312,33.36
198,1557465225800,1730,0.713456,33.04
199,1557465255900,2311,0.613904,32.99
200,1557465286000,1994,0.58072,32.82
201,1557465316100,2297,0.315248,32.7
202,1557466760000,1765,0.813008,34.05
203,1557466910400,1393,0.895968,34.13
204,1557467572200,1271,0.846192,34.14
205,1557467602300,1301,0.779824,34.17
206,1557467722600,1345,0.8296,34.12
207,1557467812900,1352,0.481168,34.12
208,1557467933200,1310,0.879376,34.1
209,1557468354400,1698,0.796416,33.99
210,1557468444600,1485,0.66368,33.97
211,1557468534800,1904,0.862784,33.94
212,1557468655200,1734,0.796416,33.9
213,1557468895800,1659,0.813008,33.99
214,1557469196600,340330,0.763232,35.44
215,1557469557600,340330,0.613904,36.06
216,1557469948700,109702,0.365024,33.45
217,1557470069000,8416,0.796416,32.86
218,1557470129200,10314,0.862784,32.72
219,1557470279600,6123,0.763232,32.64
220,1557470430000,3686,0.24888,32.53
221,1557470520300,2465,0.447984,32.64
222,1557470580400,1670,0.647088,32.82
223,1557470610500,1765,0.398208,32.93
