,timestamp,Resistance,Interval,Temperature
0,1556596028900,14633,0.613904,30.05
1,1556596059000,13733,0.779824,30.32
2,1556596630500,2574,0.49776,30.46
3,1556597202100,5430,0.74664,30.77
4,1556597352500,4988,0.74664,31.13
5,1556597623200,4368,0.779824,31.63
6,1556597803700,4081,0.763232,32.03
7,1556598285000,3525,0.8296,32.72
8,1556598495600,3366,0.962336,32.86
9,1556599187500,2915,0.813008,33.39
10,1556599307800,3003,0.929152,33.31
11,1556599458200,2782,1.095072,33.76
12,1556599578500,2727,0.763232,33.76
13,1556599759000,2657,0.779824,33.69
14,1556599909400,2605,0.879376,33.67
15,1556600120000,2462,0.99552,33.58
16,1556601594700,2119,0.929152,33.19
17,1556601654800,2103,0.978928,33.22
18,1556601684900,2112,0.8296,33.24
19,1556601985700,2133,0.58072,33.2
20,1556603189000,2034,0.945744,32.25
21,1556603580100,1907,0.945744,32.12
22,1556604031300,2126,1.061888,32.12
23,1556604512600,1989,0.8296,32.09
24,1556605084100,1913,0.547536,32.19
25,1556605144300,1894,0.862784,32.2
26,1556605445100,1848,0.962336,32.31
27,1556605505300,4278,0.74664,32.27
28,1556605655700,4271,0.8296,32.35
29,1556605806100,4312,1.111664,32.29
30,1556605926400,4063,1.028704,32.34
31,1556606257300,3447,0.730048,31.89
32,1556607580900,321,0.91256,29.9
33,1556608784200,10441,1.128256,27.92
34,1556609716800,724,0.58072,31.99
35,1556610559100,262,0.779824,30.64
36,1556610829800,341,1.128256,30.05
37,1556611190800,263,0.895968,29.22
38,1556611371300,389,0.647088,29.76
39,1556611672100,513,0.91256,30.02
40,1556612394100,775,0.846192,31.65
41,1556613176200,370,0.630496,30.24
42,1556613446900,451,0.879376,31.28
43,1556613777800,494,1.095072,32.53
44,1556614168900,485,0.647088,33.05
45,1556617501900,5564,0.647088,32.8
46,1556617622200,4461,0.696864,33.19
47,1556617682400,4244,0.74664,33.33
48,1556617714200,4211,0.647088,33.4
49,1556617743600,3586,0.846192,33.49
50,1556617773500,3729,0.879376,33.5
51,1556617803000,3686,0.530944,33.51
52,1556617834100,3597,0.779824,33.53
53,1556617863500,3452,0.763232,33.54
54,1556617894200,3334,0.730048,33.58
55,1556617923500,3262,1.277584,33.58
56,1556617953500,3201,0.929152,33.62
57,1556617984100,3100,0.779824,33.67
58,1556618014700,3075,0.696864,33.7
59,1556618044800,2889,0.813008,33.71
60,1556618075400,3023,0.713456,33.71
61,1556618104100,2946,0.74664,33.76
62,1556618134700,3031,0.66368,33.79
63,1556618165400,3075,0.613904,33.82
64,1556618196500,3051,0.846192,33.85
65,1556618224100,3055,0.66368,33.88
66,1556618254700,3007,0.730048,33.88
67,1556618284800,2893,0.730048,33.91
68,1556618314100,2889,0.597312,33.86
69,1556618374600,2860,0.713456,33.78
70,1556618404900,2835,0.796416,33.76
71,1556618466300,2764,0.813008,33.7
72,1556618496000,2700,0.763232,33.69
73,1556618526800,2602,0.597312,33.61
74,1556618555100,2666,0.66368,33.58
75,1556618585800,2586,0.680272,33.54
76,1556618615100,2558,0.730048,33.46
77,1556618646300,2580,0.763232,33.43
78,1556618705800,2518,0.730048,33.4
79,1556618735600,2500,0.730048,33.35
80,1556618765800,2480,0.680272,33.31
81,1556618825800,2515,0.713456,33.3
82,1556618855600,2500,0.74664,33.28
83,1556618916000,2465,0.730048,33.2
84,1556618946300,2482,0.730048,33.17
85,1556618977000,2453,0.846192,33.16
86,1556619036500,2450,0.779824,33.13
87,1556619066300,2439,0.846192,33.11
88,1556619096500,2390,0.763232,33.08
89,1556619130600,2421,0.779824,33.06
90,1556619157500,3976,0.99552,33.08
91,1556619188700,4001,0.779824,33.08
92,1556619277200,2676,0.763232,33.04
93,1556619337700,2512,0.696864,33.04
94,1556619367400,2571,0.713456,33.05
95,1556619398100,2453,0.779824,33.08
96,1556619427900,2453,0.74664,33.09
97,1556619457700,2436,0.978928,33.13
98,1556619487900,2427,0.929152,33.12
99,1556619518600,2433,0.265472,33.11
100,1556619547900,2485,0.8296,33.11
101,1556619579100,2459,0.91256,33.11
102,1556619638100,2468,0.680272,33.08
103,1556619699600,2453,0.879376,33.05
104,1556619728900,2465,0.8296,33.06
105,1556619759100,2468,0.879376,33.06
106,1556619788900,2436,0.730048,33.04
107,1556619819100,2471,0.74664,33.04
108,1556619849800,2459,0.8296,33.03
109,1556619879600,2430,0.846192,33.02
110,1556619968800,2396,0.481168,32.97
111,1556620029300,2351,0.846192,32.87
112,1556620089800,2396,0.879376,32.71
113,1556620119600,2371,0.813008,32.64
114,1556620150300,2379,0.713456,32.58
115,1556620180500,2382,0.713456,32.53
116,1556620210300,2371,0.730048,32.48
117,1556620240500,2346,0.8296,32.44
118,1556620300600,2362,0.813008,32.33
119,1556620361500,2332,0.862784,32.29
120,1556620390300,2327,0.597312,32.32
121,1556620421500,2324,0.796416,32.27
122,1556620450800,2343,0.730048,32.2
123,1556620481500,2321,0.8296,32.16
124,1556620510800,2300,0.813008,32.09
125,1556620541500,2271,0.978928,32.07
126,1556620570800,2311,0.730048,32.05
127,1556620602000,2324,0.813008,32.02
128,1556620630800,2338,0.813008,32.0
129,1556620721500,2332,0.74664,32.09
130,1556620751700,2379,0.879376,32.09
131,1556620782000,2376,0.696864,32.11
132,1556620813200,2410,0.514352,32.11
133,1556620872200,2399,0.398208,32.11
134,1556620932200,2282,0.74664,32.03
135,1556620992200,2287,0.846192,32.0
136,1556621141900,2292,0.8296,31.97
137,1556621472800,2308,0.613904,31.83
138,1556621503200,2292,0.630496,31.85
139,1556621563100,2212,0.813008,31.81
140,1556621623200,2274,0.713456,31.78
141,1556621894000,2297,0.713456,31.77
142,1556622224900,2338,0.895968,31.61
143,1556622676100,2210,0.879376,32.09
144,1556622706200,2192,1.045296,32.13
145,1556622736300,2199,0.962336,32.18
146,1556622796400,2207,1.012112,32.23
