,timestamp,Resistance,Interval,Temperature
0,1557275126900,13173,1.294176,31.09
1,1557275157000,11681,0.929152,31.11
2,1557275277300,9138,0.895968,31.11
3,1557275397600,16655,0.962336,31.07
4,1557275848800,12128,0.813008,31.11
5,1557275878900,7962,0.74664,31.09
6,1557276570800,9502,1.211216,30.97
7,1557276961900,7641,0.91256,31.13
8,1557278074900,19897,0.796416,30.55
9,1557278227300,10070,1.07848,30.41
10,1557278653200,65064,0.613904,29.38
11,1557278706800,33420,0.116144,29.37
12,1557278917300,8799,0.647088,29.62
13,1557279097800,16579,0.929152,29.83
14,1557279188100,340330,0.647088,30.55
15,1557279248200,90022,0.879376,30.54
16,1557279368500,12385,1.012112,30.63
17,1557279669400,5907,0.8296,30.8
18,1557279729500,5884,0.846192,30.85
19,1557280060400,5104,0.813008,31.0
20,1557280090500,4927,0.813008,31.0
21,1557280842600,5340,0.862784,31.19
22,1557280902700,4075,0.215696,31.17
23,1557280993000,4069,0.730048,31.24
24,1557281775100,4333,0.862784,31.29
25,1557282316600,4326,0.779824,30.38
26,1557282346700,3964,0.481168,30.48
27,1557282677600,5086,0.895968,31.09
28,1557282948300,3853,0.74664,31.08
29,1557283309300,4291,0.547536,31.11
30,1557283459700,4258,0.381616,31.11
31,1557283519900,4657,0.66368,31.1
32,1557283971100,10736,0.215696,30.44
33,1557284001200,7696,0.215696,30.38
34,1557284933700,14875,0.8296,30.68
35,1557285264600,7982,0.879376,30.24
36,1557285294700,16066,0.813008,30.08
37,1557285385000,24128,0.4148,30.16
38,1557287521000,16655,0.879376,31.77
39,1557287641300,10669,0.613904,31.81
40,1557289837600,426,0.779824,33.99
41,1557291642600,661,0.846192,34.26
42,1557292214200,700,0.680272,34.44
43,1557292545100,792,0.730048,33.33
44,1557293086600,635,0.049776,31.5
45,1557294019300,956,0.929152,32.09
46,1557294410400,935,0.862784,32.22
47,1557294711200,953,0.978928,32.0
48,1557295734000,1166,0.8296,31.72
49,1557295824200,1174,0.779824,31.72
50,1557295914500,1190,0.978928,31.71
51,1557296456000,9864,0.232288,31.39
52,1557297358400,3248,0.962336,30.53
53,1557297478700,3133,0.862784,30.5
54,1557298110500,2778,0.962336,30.31
55,1557298651900,2953,1.012112,30.19
56,1557298712600,2713,0.431392,30.25
57,1557301630000,3112,0.962336,31.1
58,1557301960900,3091,0.978928,31.05
