,timestamp,Resistance,Interval,Temperature
0,1557274054500,1692,0.862784,32.4
1,1557275257800,6198,0.680272,32.48
2,1557275739100,6447,0.796416,32.92
3,1557275889500,5005,0.74664,32.91
4,1557275919600,5014,0.945744,32.92
5,1557277544000,3551,0.779824,33.53
6,1557279318900,3870,0.763232,31.87
7,1557280070900,3188,0.879376,32.04
8,1557281755500,2543,0.929152,31.51
9,1557281936000,2387,0.91256,31.43
10,1557282146600,2580,0.91256,31.44
11,1557282297000,2468,0.99552,31.46
12,1557282447400,2459,0.879376,31.31
13,1557283169400,3385,0.58072,29.62
14,1557283620600,2521,0.929152,29.14
15,1557283710800,145286,0.862784,29.07
16,1557283801100,6288,1.061888,28.94
17,1557285154800,1725,0.66368,30.51
18,1557286087400,1773,0.66368,31.09
19,1557286538700,1866,0.66368,31.34
20,1557286568700,1929,0.680272,31.4
21,1557286598800,1929,0.763232,31.44
22,1557286659000,1942,0.862784,31.48
23,1557286929700,6380,0.49776,31.15
24,1557287200400,3602,0.431392,31.51
25,1557287471200,388,0.66368,31.75
26,1557287922400,325,0.481168,31.23
27,1557288283400,656,0.033184,29.99
28,1557288704500,479,0.49776,32.08
29,1557288734600,445,0.232288,32.06
30,1557288764700,417,0.779824,31.95
31,1557294089300,2546,0.779824,32.72
32,1557294119400,2549,0.8296,32.7
33,1557294269800,1612,0.49776,32.97
34,1557295142200,2491,0.763232,33.69
35,1557295202400,2637,0.680272,33.73
36,1557295232400,2782,0.862784,33.75
37,1557296044600,2020,0.8296,33.99
38,1557296255200,3067,0.796416,33.96
39,1557297007300,1931,0.895968,34.23
40,1557298000000,1739,0.696864,32.71
41,1557299353700,2261,0.713456,30.93
42,1557299443900,3248,0.282064,30.92
43,1557299474000,2321,1.377136,30.92
44,1557299654500,2938,0.862784,30.65
45,1557300406500,3633,0.796416,30.6
46,1557300498000,3145,0.796416,30.68
47,1557300797600,1109,0.713456,28.93
48,1557301309000,1416,0.813008,27.91
49,1557301850500,813,0.846192,29.59
50,1557302452100,212,0.978928,29.41
51,1557302512300,204,0.680272,29.59
52,1557302602500,392,1.07848,30.39
53,1557302632600,333,0.530944,30.55
54,1557302783000,297,0.929152,31.38
55,1557302813100,346,0.348432,31.46
56,1557302843200,354,0.813008,31.61
57,1557303625300,608,0.879376,33.13
58,1557303805800,702,0.879376,33.09
59,1557303866000,710,0.929152,33.11
60,1557304196900,775,0.978928,33.14
61,1557304287100,782,1.111664,33.19
62,1557304467600,884,0.4148,33.21
63,1557304648100,741,1.061888,33.16
64,1557304888800,1202,0.846192,33.15
65,1557305129400,1265,0.879376,33.06
66,1557306152200,968,0.879376,33.01
67,1557306212400,904,0.8296,33.0
68,1557306543300,874,0.763232,32.94
69,1557306663600,862,0.929152,32.9
70,1557306783900,866,0.813008,32.9
71,1557307114900,3713,0.779824,32.87
72,1557307144900,3681,0.846192,32.91
73,1557307445700,2789,0.895968,33.21
74,1557307536000,2676,0.846192,33.24
75,1557307836800,2215,0.978928,33.34
76,1557308017300,12837,0.796416,31.45
77,1557308047400,9138,0.813008,31.05
78,1557309010000,4139,0.66368,31.22
79,1557310784800,1727,0.74664,31.81
80,1557310965300,3418,0.365024,29.65
81,1557310995400,7885,1.028704,29.56
82,1557311206000,6656,0.713456,27.9
83,1557312108500,328,0.597312,30.38
84,1557312529600,351,0.763232,31.42
85,1557312559700,346,0.696864,31.51
86,1557312649900,354,0.846192,31.73
87,1557312680000,350,0.66368,31.84
88,1557313191400,746,0.66368,32.34
89,1557313642600,344,0.763232,33.14
90,1557314003600,329,0.763232,34.05
91,1557314515100,580,0.978928,34.06
92,1557314545700,574,0.630496,34.01
93,1557314966300,550,0.647088,33.88
94,1557315086600,954,0.763232,33.93
95,1557315116700,668,0.613904,33.95
96,1557315447600,2442,0.763232,33.86
97,1557315628100,1656,0.66368,33.89
98,1557315658700,2789,0.199104,33.79
99,1557315688700,2187,0.696864,33.7
100,1557315718700,2782,0.730048,33.69
101,1557315748700,2471,0.730048,33.66
102,1557315779300,1902,0.680272,33.63
103,1557315808700,1723,0.713456,33.6
104,1557315838700,2477,0.8296,33.57
105,1557315899300,1985,0.696864,33.57
106,1557315959300,1745,0.647088,33.52
107,1557315989300,1730,0.779824,33.48
108,1557316019300,1927,0.846192,33.46
109,1557316410200,764,0.182512,32.51
110,1557316831400,2860,0.879376,27.59
111,1557316921600,1373,0.630496,26.89
112,1557316951700,912,0.846192,27.02
113,1557317162300,486,0.730048,28.14
114,1557317734000,2061,0.696864,30.94
115,1557318125100,1888,0.813008,30.98
116,1557318576300,10409,0.315248,30.39
117,1557318786800,4178,0.696864,30.87
118,1557318967400,3183,0.879376,31.38
119,1557319599000,2202,0.813008,32.19
120,1557322457900,1776,0.680272,32.31
121,1557322517300,1689,1.012112,32.14
122,1557322547300,1717,0.779824,32.08
123,1557325886400,7175,0.182512,31.96
124,1557325946600,11880,0.696864,32.26
125,1557326277500,8481,0.696864,31.27
126,1557326819000,6757,0.962336,28.16
127,1557327871900,3145,0.8296,30.06
128,1557328353200,2346,0.763232,30.86
129,1557328503600,2567,0.846192,30.84
130,1557328954800,2153,0.846192,31.09
131,1557329466200,2292,0.696864,31.93
132,1557329797100,1864,0.779824,32.08
133,1557330789800,2049,0.763232,31.39
134,1557331331300,1540,0.763232,31.66
135,1557332143500,1222,0.846192,31.33
136,1557332354100,1844,0.879376,31.53
137,1557332534600,1115,0.613904,31.2
138,1557332865500,2368,0.8296,27.94
139,1557333136200,9638,0.8296,26.81
140,1557375160500,1320,0.464576,30.91
141,1557375280800,912,0.813008,32.21
142,1557375431200,1377,0.813008,33.21
143,1557375521500,1496,0.779824,33.61
144,1557375581600,1544,0.630496,33.8
145,1557375764800,1634,0.763232,34.22
146,1557375793000,1642,0.74664,34.23
147,1557375825400,1656,0.813008,34.26
148,1557376073800,1675,0.862784,34.51
149,1557376123600,1630,0.879376,34.53
150,1557376183600,1630,0.962336,34.48
151,1557376333800,1934,0.813008,34.05
152,1557376363900,1963,0.796416,34.03
153,1557376394000,1974,0.779824,34.03
154,1557376875300,1429,0.298656,34.18
155,1557376995600,1426,0.696864,34.1
156,1557377416800,905,0.481168,31.27
157,1557377597300,409,0.813008,31.79
158,1557377627300,346,0.813008,31.79
159,1557378168800,465,0.879376,33.47
160,1557378710300,638,0.8296,33.91
161,1557378740400,626,0.763232,33.97
162,1557378860700,667,0.813008,34.03
163,1557380033900,437,0.564128,32.4
164,1557380545300,198,0.763232,31.04
165,1557380725800,282,0.813008,31.65
166,1557380966400,1566,0.730048,32.75
167,1557381177000,2082,0.91256,33.41
168,1557381327400,2136,1.178032,33.66
169,1557381387600,2126,0.846192,33.78
170,1557381899000,1913,0.796416,34.07
171,1557382109600,1691,0.66368,34.0
172,1557382320100,1701,0.846192,34.07
173,1557382500600,1627,0.779824,34.04
174,1557382891700,3870,0.730048,33.5
175,1557383162400,3235,0.846192,33.55
176,1557383222600,3175,0.862784,33.54
177,1557383373000,3039,0.796416,33.6
178,1557383433200,2727,0.763232,33.63
179,1557383463300,2803,0.8296,33.63
180,1557383734000,10283,0.978928,33.75
181,1557384456000,6314,0.763232,33.16
182,1557384726700,8752,0.049776,32.63
183,1557384787000,17204,0.630496,32.58
184,1557384847200,14875,0.66368,32.78
185,1557385448800,1103,0.895968,32.39
186,1557385478900,826,0.763232,32.43
187,1557385659400,679,0.862784,32.9
188,1557386140700,699,0.846192,33.34
189,1557386983000,586,0.813008,33.86
190,1557387313900,612,0.813008,34.18
191,1557387524500,682,0.895968,34.3
192,1557388366800,734,0.879376,34.14
193,1557388487100,618,0.846192,34.16
194,1557389690400,872,0.99552,32.98
195,1557389870900,931,1.128256,33.13
196,1557390171700,935,1.211216,33.24
197,1557390472600,948,0.978928,33.21
198,1557390833500,1020,1.012112,33.46
199,1557390923800,1028,1.012112,33.5
200,1557391044100,1037,1.012112,33.48
201,1557391164400,1061,0.4148,33.43
202,1557391406200,606,0.514352,33.0
203,1557391436200,601,0.813008,33.14
204,1557391466200,629,0.796416,33.17
205,1557391496200,648,0.796416,33.23
206,1557391526200,684,0.630496,33.21
207,1557391556200,710,0.74664,33.06
208,1557391586200,778,0.630496,32.86
209,1557391648600,1078,0.696864,32.38
210,1557391676200,1097,0.58072,32.15
211,1557391706200,1199,0.58072,31.97
212,1557391736200,1237,0.49776,31.76
213,1557391796800,1244,0.58072,31.44
214,1557391856800,801,0.58072,31.24
215,1557391887400,892,0.91256,31.08
216,1557391917400,798,0.597312,30.98
217,1557391946800,882,0.680272,30.9
218,1557391978000,908,0.613904,30.79
219,1557392037400,702,0.58072,30.66
220,1557392068000,675,0.647088,30.48
221,1557392098000,787,0.564128,30.43
222,1557392127400,611,0.66368,30.31
223,1557392158000,537,0.647088,30.32
224,1557392188000,546,0.8296,30.34
225,1557392218600,503,0.613904,30.33
226,1557392248600,459,0.597312,30.36
227,1557392278600,412,0.713456,30.34
228,1557392308000,372,0.647088,30.34
229,1557392338600,448,0.647088,30.32
230,1557392368600,379,0.696864,30.27
231,1557392398600,364,0.613904,30.18
232,1557392458600,305,0.680272,30.23
233,1557392488600,233,0.74664,30.15
234,1557392518600,362,0.564128,30.13
235,1557392549200,562,0.730048,30.08
236,1557392578600,254,0.597312,30.08
237,1557392609200,489,0.779824,30.05
238,1557392639200,455,1.111664,30.05
239,1557392669800,270,1.310768,30.08
240,1557392759800,380,0.779824,30.01
241,1557392789800,555,0.962336,29.92
242,1557392819800,284,0.796416,29.95
243,1557392849800,316,0.647088,29.97
244,1557392879800,274,1.028704,29.96
245,1557392909800,324,0.862784,29.97
246,1557392939800,341,0.978928,30.0
247,1557392970400,353,0.74664,30.01
248,1557392999800,346,0.8296,29.98
249,1557393031000,337,0.929152,29.89
250,1557393060400,372,0.647088,29.8
251,1557393090400,339,0.945744,29.68
252,1557393120400,363,0.763232,29.56
253,1557393152200,446,0.846192,29.51
254,1557393211000,514,0.862784,29.45
255,1557393241000,576,0.796416,29.45
256,1557393272800,352,0.763232,29.48
257,1557393301600,448,0.779824,29.45
258,1557393331000,607,0.564128,29.48
259,1557393361000,396,0.846192,29.5
260,1557393391600,441,0.796416,29.57
261,1557393421000,318,0.962336,29.6
262,1557393511600,1324,1.012112,29.52
263,1557393541600,877,0.779824,29.6
264,1557393632200,680,0.8296,29.88
265,1557393661600,693,0.763232,29.97
266,1557393692200,611,0.879376,29.98
267,1557393722200,629,0.730048,30.08
268,1557393752200,705,0.846192,30.18
269,1557393842800,841,0.929152,31.06
270,1557393872800,1000,0.8296,31.55
271,1557393902200,850,0.846192,32.09
272,1557393932200,1013,0.862784,32.47
273,1557393992800,1008,0.862784,32.83
274,1557394022800,955,0.8296,32.89
275,1557394082800,824,0.696864,32.94
276,1557394112800,980,0.779824,32.92
277,1557394142800,804,0.8296,32.91
278,1557394173400,831,0.779824,32.87
279,1557394203400,1131,0.763232,32.83
280,1557394263400,809,0.862784,32.81
281,1557394293400,886,0.8296,32.83
282,1557394324000,1016,0.74664,32.83
283,1557394354000,675,0.978928,32.78
284,1557394383400,1147,0.879376,32.78
285,1557394414000,816,0.846192,32.78
286,1557394444000,661,0.8296,32.79
287,1557394474000,1120,0.763232,32.81
288,1557394504000,814,0.879376,32.81
289,1557394534000,1380,0.846192,32.57
290,1557394564000,1862,0.8296,32.56
291,1557394594600,1782,0.813008,32.57
292,1557394624600,1373,0.862784,32.59
293,1557394684600,2410,0.763232,32.72
294,1557394715200,1600,0.779824,32.79
295,1557394744600,1540,0.779824,32.79
296,1557394774600,2332,0.680272,32.85
297,1557394804600,1605,0.730048,32.85
298,1557394835800,2011,0.597312,32.87
299,1557394865200,1441,0.66368,32.88
300,1557394895200,1446,0.796416,32.91
301,1557394925800,1381,0.680272,32.97
302,1557394955800,1547,0.597312,33.01
303,1557394985800,1318,0.713456,33.07
304,1557395015800,1363,0.779824,33.16
305,1557395045200,1405,0.696864,33.28
306,1557395075800,1354,0.74664,33.3
307,1557395105800,1168,0.796416,33.39
308,1557395136400,1147,0.680272,33.48
309,1557395165800,1114,0.66368,33.55
310,1557395195800,993,0.680272,33.63
311,1557395225800,748,0.730048,33.67
312,1557395255800,586,0.647088,33.75
313,1557395286400,580,0.74664,33.82
314,1557395406400,474,0.74664,33.91
315,1557395436400,505,0.696864,33.91
316,1557395467000,424,0.597312,33.91
317,1557395497000,417,0.66368,33.95
318,1557395527000,435,0.647088,33.97
319,1557395557000,445,0.713456,34.02
320,1557395587600,395,0.713456,34.04
321,1557395617600,419,0.680272,34.1
322,1557395647600,390,0.696864,34.13
323,1557395677000,387,0.779824,34.18
324,1557395707000,329,0.680272,34.21
325,1557395738200,324,0.680272,34.23
326,1557395767600,328,0.696864,34.25
327,1557395798200,311,0.8296,34.28
328,1557395828200,319,0.696864,34.32
329,1557395857600,513,0.680272,34.35
330,1557395888200,497,0.74664,34.34
331,1557395917600,509,0.730048,34.32
332,1557395978200,418,0.813008,34.28
333,1557396008800,438,0.879376,34.29
334,1557396038800,452,0.779824,34.32
335,1557396068800,1199,0.713456,34.38
336,1557396098800,391,0.763232,34.48
337,1557396128200,387,0.713456,34.6
338,1557396158800,373,0.763232,34.72
339,1557396218800,389,0.730048,34.78
340,1557396279400,361,0.696864,34.73
341,1557396308800,352,0.730048,34.7
342,1557396339400,341,0.779824,34.64
343,1557396368800,341,0.763232,34.58
344,1557396399400,331,0.696864,34.55
345,1557396429400,350,0.647088,34.61
346,1557396459400,359,0.763232,34.75
347,1557396490000,352,0.74664,34.86
348,1557396519400,341,0.680272,34.89
349,1557396549400,344,0.779824,34.96
350,1557396579400,349,0.796416,35.07
351,1557396640600,352,0.74664,35.23
352,1557396700000,323,0.779824,35.24
353,1557396730600,301,0.730048,35.24
354,1557396760600,303,0.796416,35.04
355,1557396790600,311,0.381616,34.84
356,1557396820600,320,0.779824,34.53
357,1557396880600,322,0.680272,33.81
358,1557396910600,314,0.91256,33.5
359,1557396941200,329,1.16144,33.21
360,1557396971200,347,0.846192,32.95
361,1557397001800,412,0.929152,32.67
362,1557397031200,802,0.763232,32.36
363,1557397061200,372,0.779824,31.99
364,1557397091200,382,0.630496,31.6
365,1557397122400,389,0.74664,31.18
366,1557397153000,567,1.128256,30.74
367,1557397181800,405,0.862784,30.38
368,1557397242400,412,0.74664,29.65
369,1557397303000,526,0.74664,28.93
370,1557397333600,488,0.381616,28.65
371,1557397363000,419,0.730048,28.32
372,1557397394200,426,0.630496,27.96
373,1557397427800,432,0.447984,27.79
374,1557397453600,547,0.630496,27.56
375,1557397483000,453,0.66368,27.31
376,1557397516600,408,0.564128,27.12
377,1557397543000,457,0.91256,27.03
378,1557397572400,428,0.514352,26.97
379,1557397602400,419,0.813008,26.94
380,1557397632400,442,0.49776,26.9
381,1557397662400,306,0.8296,26.77
382,1557397692400,383,0.431392,26.75
