,timestamp,Resistance,Interval,Temperature
0,1556619284000,703,0.58072,31.75
1,1556619494100,748,0.680272,32.19
2,1556619704700,759,0.779824,32.52
3,1556619975500,765,0.8296,32.76
4,1556620065700,764,0.813008,32.8
5,1556620095800,757,0.779824,32.8
6,1556620697400,696,0.846192,33.16
7,1556620817700,698,0.862784,33.27
8,1556620908000,687,0.846192,33.36
9,1556621780400,673,0.846192,34.25
10,1556621810500,663,0.8296,34.28
11,1556622291800,589,0.895968,34.31
12,1556622442200,567,0.846192,34.24
13,1556622532400,554,0.895968,34.32
14,1556623073700,573,0.763232,34.86
15,1556623555000,587,0.879376,35.14
16,1556623795700,552,0.696864,35.55
17,1556624367200,517,0.879376,36.14
18,1556625570500,644,0.962336,34.74
19,1556625991500,658,0.846192,34.28
20,1556627254900,669,0.8296,33.7
21,1556627315200,679,0.779824,33.72
22,1556627555800,700,0.779824,33.51
23,1556627676100,717,0.630496,33.39
24,1556627766300,728,0.895968,33.27
25,1556627946800,737,0.8296,33.12
26,1556628668800,780,0.8296,33.03
27,1556628759000,787,0.763232,32.93
28,1556628879400,812,0.846192,32.7
29,1556629300400,805,0.813008,32.3
30,1556629330500,804,0.564128,32.3
31,1556629601200,1987,0.91256,29.68
32,1556629631300,1199,0.74664,29.26
33,1556630022400,918,0.962336,30.12
34,1556630142700,907,0.74664,30.38
35,1556630504700,897,0.597312,31.17
36,1556630534100,920,0.696864,31.15
37,1556630594700,891,0.846192,31.21
38,1556630624700,874,0.763232,31.29
39,1556630654700,899,0.779824,31.33
40,1556630714700,869,0.730048,31.49
41,1556630775300,928,0.796416,31.62
42,1556630805300,913,0.879376,31.68
43,1556630835300,942,0.962336,31.76
44,1556630996100,818,0.58072,32.23
45,1556631019500,824,0.796416,32.28
46,1556632300300,794,0.365024,32.3
47,1556633784400,563,0.348432,33.25
48,1556634204700,731,0.813008,33.41
49,1556634415300,744,0.846192,33.5
50,1556634776300,852,0.879376,33.15
51,1556635077100,857,0.66368,33.27
52,1556637364400,1033,0.763232,29.04
53,1556637605100,973,0.846192,29.92
54,1556637875800,955,0.713456,30.77
55,1556637936000,929,0.929152,30.83
56,1556638718100,916,0.530944,31.18
57,1556639259600,859,0.945744,31.75
58,1556639560400,860,0.779824,32.11
59,1556674035200,84333,0.962336,28.95
60,1556674125500,19277,0.99552,29.92
61,1556674156100,57514,0.895968,30.68
62,1556674186100,94256,0.846192,30.84
63,1556674216100,20333,0.91256,30.86
64,1556674246700,23380,0.945744,30.93
65,1556674336100,16808,0.879376,31.2
66,1556674366100,15855,0.846192,31.27
67,1556674396700,13173,0.895968,31.44
68,1556674546700,39554,0.91256,31.71
69,1556674577300,30030,0.846192,31.49
70,1556674637300,31507,0.862784,31.33
71,1556674667300,27643,0.730048,31.25
72,1556674697300,22813,0.813008,31.19
73,1556674727300,19378,0.99552,31.36
74,1556674817900,13786,0.779824,31.27
75,1556674847900,17533,0.879376,31.28
76,1556674908500,12298,0.846192,31.16
77,1556674937900,14170,0.879376,31.08
78,1556674967900,15925,0.978928,31.04
79,1556674997900,11921,1.028704,31.16
80,1556675058500,10100,0.978928,30.87
81,1556675088500,19078,0.8296,31.18
82,1556675118500,14170,0.895968,31.21
83,1556675148500,13124,0.978928,31.3
84,1556675178500,17703,0.895968,31.33
85,1556675238500,10941,0.813008,31.44
86,1556675269100,14937,0.74664,31.41
87,1556675299100,20005,1.111664,31.3
88,1556675359100,13894,0.978928,31.29
89,1556675389100,9981,0.613904,31.22
