,timestamp,Resistance,Interval,Temperature,Timestamp,confidence,type,OldTimestamp,ActivityScore
0,1556686672700,3112,0.8296,31.64,2019-05-01 04:57:52.700,1.0,TILTING,8950,
1,1556779450300,310,0.74664,32.1,2019-05-02 06:44:10.300,0.75,STILL,18814,0.0
2,1557032582500,2141,0.713456,32.75,2019-05-05 05:03:02.500,0.75,STILL,29235,0.0
3,1557039621600,834,0.779824,34.0,2019-05-05 07:00:21.600,0.57,STILL,30002,0.0
4,1557044675400,326,0.813008,32.88,2019-05-05 08:24:35.400,1.0,TILTING,31002,
5,1557128106200,617,0.647088,31.88,2019-05-06 07:35:06.200,0.67,STILL,39223,0.0
