,timestamp,Resistance,Interval,Temperature,Timestamp,confidence,type,OldTimestamp,ActivityScore
0,1557285821600,1133,0.08296,32.16,2019-05-08 03:23:41.600,0.67,STILL,1327,0.0
1,1557376814400,471,0.58072,31.51,2019-05-09 04:40:14.400,0.93,ON_FOOT,20037,0.1
2,1557376814400,471,0.58072,31.51,2019-05-09 04:40:14.400,0.93,WALKING,20038,0.5
3,1557386597400,2733,0.779824,32.27,2019-05-09 07:23:17.400,0.99,STILL,21897,0.0
4,1557393842100,2497,1.095072,33.86,2019-05-09 09:24:02.100,1.0,TILTING,23008,
5,1557401486800,3546,0.613904,32.61,2019-05-09 11:31:26.800,1.0,STILL,27422,0.0
