timestamp,Resistance,Interval,Temperature
1557973882800,1568,0.680272,32.98
1557974544600,2002,0.796416,33.63
1557974755200,3000,0.033184,33.49
1557975356800,2634,0.779824,33.09
1557975747900,2853,0.298656,31.94
1557976048700,2796,0.846192,31.98
1557976199100,1692,0.796416,32.0
1557976379600,1409,0.74664,32.52
1557976409700,1206,0.564128,32.65
1557976499900,1415,0.66368,32.88
1557976590200,1594,0.099552,33.02
1557976710500,1998,0.547536,33.31
1557976860900,2162,0.232288,33.7
1557977282000,2500,1.07848,33.79
1557978094300,2324,0.199104,33.14
1557978515400,236,0.779824,34.58
1557978966600,159,1.128256,35.49
1557979087000,156,0.431392,34.77
1557979267500,125,0.613904,34.93
1557979417900,131,0.530944,35.16
1557979478000,139,0.630496,35.23
1557979508100,148,0.564128,35.27
1557979929300,381,0.730048,32.94
1557980230100,577,0.8296,33.18
1557980561000,362,0.365024,33.26
1557981553700,178,0.464576,34.22
1557981824400,185,0.696864,35.3
1557981944800,220,0.49776,34.69
1557982065100,256,0.796416,34.29
1557982365900,491,0.398208,34.05
1557982396000,464,0.74664,33.89
1557982666700,568,0.74664,33.67
1557991159200,371,0.730048,33.35
1557991670600,146,0.945744,33.89
1557992423100,151,0.298656,32.43
1557992543100,272,0.8296,31.97
1557992603600,241,0.846192,32.08
1557992663600,348,0.879376,32.21
1557992723600,253,0.58072,32.45
1557992783700,291,0.862784,32.53
1557992814200,297,0.8296,32.63
1557992904200,269,0.813008,32.75
1557992964300,331,0.862784,32.77
1557992994200,318,0.895968,32.84
1557993054800,343,1.012112,32.91
1557993144800,2447,0.779824,33.0
1557993234900,568,0.929152,33.05
1557993325500,626,0.929152,33.09
1557993506000,798,0.91256,33.1
1557993566000,794,0.895968,33.03
1557993626100,781,0.763232,33.08
1557993746600,772,0.962336,32.97
1557993806600,793,0.680272,32.99
1557993837900,894,0.564128,32.9
1557994468400,686,0.796416,32.84
1557994949700,1923,0.530944,33.05
1557995070000,1324,0.647088,33.13
1557995731800,1587,0.813008,33.39
1557995761900,2775,0.879376,33.44
1557996874900,1523,0.796416,33.46
1557997235900,2185,0.8296,33.53
1557997386300,2368,0.647088,33.28
1557997566800,1457,0.381616,33.09
1557997687100,3917,0.779824,33.1
1557998679800,486,0.796416,32.74
1557998890400,640,0.730048,32.7
1557999702600,320,0.647088,33.46
1557999762800,471,0.132736,33.53
1557999792900,338,0.696864,33.57
1558000214000,243,0.730048,33.57
1558000544900,354,0.713456,33.72
1558000575000,353,0.796416,33.76
1558001086400,310,0.74664,33.95
1558001748200,673,0.431392,33.64
1558002680700,364,0.530944,33.02
1558003132100,190,0.199104,32.36
1558003252400,254,1.012112,32.48
1558003763900,398,0.66368,33.57
1558003794000,426,0.730048,33.63
1558003824000,465,0.696864,33.66
1558003944400,2666,0.74664,33.68
1558004034600,2744,0.713456,33.71
1558004967200,797,0.730048,33.73
1558005237900,1607,0.630496,34.11
1558006020000,1051,0.696864,33.73
1558006140400,713,0.647088,33.91
1558006170400,732,0.779824,34.0
1558006230600,672,0.8296,34.0
1558006260800,511,0.879376,33.95
1558006320800,916,0.730048,33.87
1558006561500,3491,0.530944,33.68
1558007042800,1700,0.680272,33.71
1558007163100,1756,0.630496,33.55
1558007283500,2245,0.564128,33.34
1558007584300,2282,0.348432,32.73
1558007614400,4410,0.514352,32.59
1558058060700,227,0.796416,33.02
1558058542200,146,0.813008,32.75
1558058602200,130,0.099552,32.86
1558058726000,136,0.215696,32.92
1558058784100,132,0.447984,33.0
