timestamp,Resistance,Interval,Temperature
1557972367600,2491,1.061888,34.81
1557972427700,2421,1.012112,34.88
1557972939200,2093,0.91256,34.83
1557973961900,1811,0.813008,34.58
1557974804200,5895,0.779824,34.93
1557975044900,2864,0.730048,34.88
1557975466000,886,0.74664,34.96
1557976127900,511,0.398208,33.71
1557976730400,433,0.514352,34.73
1557976760400,413,0.398208,34.93
1557977061300,306,0.630496,35.37
1557977422300,283,0.796416,32.89
1557977602800,301,0.630496,32.42
1557977903600,371,0.696864,32.18
1557979046900,380,0.730048,31.75
1557979829100,452,0.597312,32.27
1557979979600,457,0.149328,32.42
1557980099800,445,0.779824,32.45
1557980761500,497,0.730048,32.95
1557981393300,574,0.630496,32.82
1557981814400,565,0.730048,33.73
1557981874600,562,0.74664,33.83
1557982175400,669,0.779824,34.31
1557982897400,718,0.730048,34.85
1557983198200,739,0.962336,34.65
1557983258400,739,0.74664,34.58
1557983559200,770,0.713456,34.34
1557983739700,728,0.91256,33.96
1557984852900,477,0.33184,34.46
1557985063500,433,0.779824,33.77
1557985665100,325,0.945744,31.88
1557985785400,286,0.597312,31.83
1557986357000,198,0.879376,31.33
1557986447200,210,0.547536,31.33
1557986808200,225,0.879376,31.36
1557987891200,380,0.647088,32.53
1557988252200,291,0.630496,31.4
1557988432700,400,0.49776,31.87
1557988643300,390,0.597312,32.52
1557988673400,397,0.58072,32.68
1557988823800,406,0.680272,32.77
1557988974200,405,0.514352,32.49
1557989936800,458,0.779824,31.93
1557990087200,471,0.779824,32.15
1557990929500,494,0.597312,33.68
1557991681500,450,0.74664,34.03
1557991892100,387,0.530944,34.21
1557992192900,376,0.91256,34.31
1557992313300,381,0.74664,34.28
1557992373400,350,0.813008,34.15
1557992403500,328,0.846192,34.01
1557992553900,349,0.929152,33.54
1557992674200,368,0.763232,33.28
1557993546600,539,0.779824,32.57
1557993576700,539,0.431392,32.52
1557995020600,585,0.597312,32.06
1557995532000,634,0.696864,32.04
1557995682400,656,0.962336,32.28
1557996013300,649,0.8296,32.76
1558052180700,556,0.763232,31.42
1558052331100,399,0.779824,31.88
1558052361200,424,0.763232,31.92
1558052421400,449,0.862784,31.88
1558052571800,465,1.045296,32.05
1558054316800,551,0.895968,32.2
1558055490000,510,0.91256,31.99
1558055520100,508,0.813008,32.01
1558055851000,577,0.978928,31.72
1558056994100,633,0.962336,31.8
1558058317800,1077,0.763232,32.99
1558058468200,1007,0.796416,33.19
1558059009700,947,0.779824,33.51
1558059130000,850,0.945744,33.69
1558059280400,805,0.929152,33.9
1558059340600,796,0.929152,33.95
1558059460900,870,0.862784,34.03
1558059972300,1091,0.796416,34.14
1558060814600,1116,0.978928,34.22
1558061025200,1014,0.91256,34.46
1558061566700,772,1.111664,33.75
1558061717100,744,1.045296,33.92
1558061837400,718,1.028704,33.98
1558062048000,674,1.012112,34.16
1558062499200,723,1.194624,34.11
1558063552100,1382,0.945744,34.74
1558063702500,1161,1.111664,34.84
1558063852900,1149,0.779824,34.97
1558064695200,1071,1.07848,35.31
1558065056200,1051,0.978928,34.58
1558065447300,1014,0.846192,34.02
1558065687900,1010,0.630496,33.62
1558066229400,303,0.779824,33.56
1558067192000,295,0.862784,35.14
1558067914000,337,0.813008,35.36
1558068666100,281,0.696864,35.17
1558068696100,289,0.696864,35.18
1558068726200,295,0.74664,35.18
1558068846500,275,1.012112,35.22
1558069057100,277,0.74664,35.22
1558069117200,279,0.779824,35.2
1558069448200,260,0.74664,35.35
1558069688800,266,0.630496,35.33
1558070200200,322,1.028704,35.19
1558071493700,444,0.58072,33.1
1558071854700,298,0.315248,32.72
1558072065300,405,0.08296,32.5
1558072546600,409,0.895968,32.55
1558072727100,490,0.945744,32.73
1558073900300,400,0.730048,33.19
1558074231200,477,0.730048,33.35
1558074562100,320,0.431392,33.33
1558074802800,390,0.763232,33.16
1558075645100,393,0.895968,32.76
1558076036100,359,0.680272,32.86
1558076186500,349,0.813008,32.79
1558076547500,312,0.730048,32.61
1558076758100,306,0.66368,32.49
1558077449900,411,0.879376,32.33
1558077901300,270,0.862784,32.75
1558078051600,316,0.647088,32.91
1558079194700,417,1.045296,33.59
1558086227200,3329,0.730048,34.2
1558086287800,1948,0.796416,33.86
1558090890000,592,1.128256,34.43
1558092905600,538,0.4148,33.37
1558093116100,673,0.66368,33.13
1558093326700,737,0.713456,33.24
1558093356800,741,0.696864,33.28
1558093447000,742,0.66368,33.4
1558093507200,687,0.713456,33.43
1558093537300,681,0.713456,33.45
1558093597500,667,0.680272,33.51
1558093808000,635,0.680272,33.68
1558093928400,670,0.763232,33.71
1558094108800,769,0.730048,33.84
1558094169000,768,0.74664,33.9
1558094229200,882,0.813008,33.95
1558094379600,735,0.696864,34.07
1558094469900,735,0.862784,34.02
1558094680400,814,0.796416,34.04
1558094860900,786,0.713456,33.89
1558094891000,779,0.763232,33.91
1558095041400,778,0.763232,34.16
1558095522700,759,0.647088,34.13
1558095582900,773,0.730048,34.09
1558096004100,717,0.74664,34.2
1558096936600,773,0.929152,33.08
1558097177200,558,0.763232,33.44
1558097568300,821,0.8296,33.9
1558097688600,637,0.74664,34.37
1558097959300,848,0.879376,34.58
1558172210200,541,0.879376,34.59
1558173202900,504,0.862784,33.44
1558175639700,560,0.813008,33.64
1558177835600,548,0.846192,35.02
1558178677900,560,0.680272,33.3
1558180934000,522,0.846192,32.91
