timestamp,Resistance,Interval,Temperature
1558053681100,1174,0.763232,30.88
1558053951900,1832,0.99552,31.29
1558054192500,939,0.547536,30.84
1558054523400,301,0.763232,30.9
1558054613600,303,0.978928,31.06
1558054824200,293,0.763232,30.9
1558055125000,240,0.796416,31.75
1558055425800,288,0.365024,31.76
1558055516100,319,0.813008,31.7
1558055606300,330,0.846192,31.67
1558056599000,392,0.862784,30.08
1558057140500,492,0.895968,30.17
1558057200700,496,0.895968,30.22
1558057591700,496,0.8296,30.72
1558057651900,488,0.8296,30.73
1558058012900,523,0.862784,30.79
1558058283600,532,0.91256,30.84
1558058343800,527,1.012112,30.82
1558058494200,598,0.978928,30.86
1558058825100,555,0.945744,30.73
1558058945400,603,0.962336,30.63
1558059065700,624,0.929152,30.67
1558059156000,628,0.962336,30.69
1558059396600,613,0.895968,30.64
1558060269000,696,0.862784,30.6
1558060720200,1248,0.978928,30.82
1558061171400,1101,0.597312,30.45
1558061231600,1183,0.597312,30.26
1558061412100,1122,0.447984,30.72
1558061442200,1115,0.58072,30.71
1558061562500,1182,0.763232,30.7
1558061622700,1092,0.929152,30.82
1558061712900,1109,0.8296,31.12
1558062073900,1098,0.846192,32.02
1558062224300,1094,0.846192,32.15
1558062525100,1114,0.945744,32.04
1558062765800,1067,0.945744,32.81
1558063307200,1065,0.962336,33.62
1558063547900,1064,0.91256,33.85
1558064269800,1057,1.144848,34.89
1558064991800,1041,0.929152,35.55
1558069714100,642,0.962336,35.08
1558070075100,622,0.99552,34.88
1558070195400,631,1.095072,34.99
1558070496300,515,0.862784,34.83
1558070646700,543,0.862784,34.71
1558070857300,535,0.962336,34.67
1558071368600,527,0.91256,35.5
1558071428800,555,0.895968,35.6
1558072632000,409,0.945744,35.1
1558072962900,406,1.012112,34.7
1558073444300,356,0.647088,35.36
1558073654800,393,0.895968,34.96
1558074226600,291,0.779824,34.37
1558074256700,306,0.813008,34.35
1558074677800,294,0.730048,34.44
1558074828200,268,0.49776,34.37
1558074858300,297,0.796416,34.22
1558075008700,346,0.514352,33.56
1558075038800,353,0.779824,33.49
1558075459900,214,0.74664,32.23
1558075490000,204,0.779824,32.05
1558075580300,165,0.696864,32.04
1558075670500,178,0.630496,31.8
1558076061600,162,0.58072,30.77
1558076151800,182,0.431392,30.63
1558076482700,213,0.846192,29.98
1558076873800,280,0.464576,30.84
1558077174700,297,0.630496,30.77
1558077264900,221,0.8296,31.05
1558077595800,213,0.713456,31.46
1558078257700,274,0.49776,32.53
1558078829200,268,0.879376,32.52
1558078949500,311,0.813008,32.48
1558082348800,5262,0.680272,30.88
1558082619500,4410,0.8296,31.43
1558083311600,2878,0.680272,31.91
1558083401800,2908,0.630496,32.03
1558083732700,2961,0.713456,32.1
1558084063600,2382,0.779824,31.75
1558084484700,2670,0.713456,31.82
1558084845700,2354,0.862784,31.89
1558085056100,2396,0.680272,31.62
1558085567600,2835,0.74664,31.62
1558085808200,2733,0.696864,31.56
1558085868400,2663,0.846192,31.5
1558086078900,2567,0.199104,31.29
1558086259400,3222,0.58072,31.11
