timestamp,Resistance,Interval,Temperature
1557273819000,1576,0.763232,31.66
1557273697600,1707,0.779824,29.91
1557273939300,2644,0.713456,32.23
1557274058600,2237,0.74664,30.64
1557274178900,1996,1.061888,30.77
1557274209000,1989,0.74664,30.81
1557274359400,2195,0.74664,30.97
1557274420600,2105,0.730048,33.43
1557274239000,1856,0.680272,30.84
1557274299200,1502,0.713456,30.92
1557274449600,1526,0.763232,31.02
1557274630100,1374,0.796416,31.17
1557274780500,1792,0.647088,31.47
1557274992200,1936,0.813008,33.58
1557275111400,1721,0.74664,31.76
1557275261800,726,0.796416,31.92
1557275323100,642,0.779824,33.73
1557275383300,552,0.564128,33.8
1557275412200,547,0.862784,32.44
1557275503600,610,0.779824,33.96
1557275773200,1582,0.713456,32.33
1557275803300,1780,0.74664,32.36
1557275834500,1878,0.713456,33.63
1557275864600,2190,0.74664,33.59
1557274539900,2025,0.846192,31.1
1557274571000,2011,0.547536,33.54
1557274720400,6013,0.91256,31.18
1557274811700,4512,0.730048,33.63
1557275894700,2027,0.613904,33.53
1557276104100,1226,0.8296,32.59
1557276195500,5942,0.862784,33.45
1557276225600,1856,0.879376,33.44
1557276254500,1892,0.763232,32.72
1557276435000,1548,0.613904,32.84
1557276826600,2045,0.929152,32.93
1557276886800,2185,0.813008,32.91
1557276941100,8917,1.16144,34.3
1557277128000,4876,0.763232,34.19
1557277248300,5553,0.763232,34.19
1557277699500,4626,0.91256,34.17
1557276374900,5470,0.962336,32.79
1557276525300,7480,0.763232,32.81
1557276706800,4527,0.813008,34.28
1557276736900,4565,0.879376,34.31
1557277458400,4712,0.796416,32.66
1557277638900,4704,0.813008,32.59
1557277999900,3911,0.895968,32.56
1557277729600,4461,0.796416,34.21
1557277759700,3566,0.895968,34.22
1557277789800,3785,0.74664,34.18
1557278090600,2175,0.8296,34.17
1557278180300,1856,1.028704,32.55
1557278241000,3108,0.813008,33.36
1557278301200,2942,0.680272,32.86
1557278902800,9240,0.66368,29.91
1557278451100,3952,0.846192,32.19
1557278721800,6262,0.398208,31.58
1557278902300,6353,0.8296,31.49
1557278932400,5399,0.846192,31.53
1557279112900,6585,0.66368,31.92
