Timestamp,timestamp,confidence,type,OldTimestamp,ActivityScore
2019-05-16 00:43:06.000,1557967386000,1.0,TILTING,7,
2019-05-16 00:43:13.000,1557967393000,1.0,STILL,8,0.0
2019-05-16 00:43:33.200,1557967413200,0.99,STILL,9,0.0
2019-05-16 00:43:47.600,1557967427600,1.0,STILL,11,0.0
2019-05-16 00:44:16.800,1557967456800,1.0,TILTING,12,
2019-05-16 00:44:56.600,1557967496600,0.89,ON_FOOT,20,0.1
2019-05-16 00:44:56.600,1557967496600,0.89,WALKING,21,0.5
2019-05-16 00:45:21.800,1557967521800,1.0,TILTING,33,
2019-05-16 00:45:25.100,1557967525100,0.94,ON_FOOT,34,0.1
2019-05-16 00:45:25.100,1557967525100,0.94,WALKING,35,0.5
2019-05-16 00:46:23.500,1557967583500,1.0,TILTING,55,
2019-05-16 00:46:31.300,1557967591300,0.96,ON_FOOT,56,0.1
2019-05-16 00:46:31.300,1557967591300,0.96,WALKING,57,0.5
2019-05-16 00:46:46.900,1557967606900,0.96,ON_FOOT,60,0.1
2019-05-16 00:46:46.900,1557967606900,0.96,WALKING,61,0.5
2019-05-16 00:46:54.500,1557967614500,1.0,TILTING,66,
2019-05-16 00:47:02.200,1557967622200,0.87,ON_FOOT,67,0.1
2019-05-16 00:47:02.200,1557967622200,0.87,WALKING,68,0.5
2019-05-16 00:47:17.800,1557967637800,0.97,ON_BICYCLE,74,0.8
2019-05-16 00:47:34.200,1557967654200,0.97,ON_BICYCLE,78,0.8
2019-05-16 00:47:49.400,1557967669400,0.97,ON_BICYCLE,82,0.8
2019-05-16 00:48:05.400,1557967685400,0.97,ON_BICYCLE,86,0.8
2019-05-16 00:48:20.500,1557967700500,0.97,ON_BICYCLE,90,0.8
2019-05-16 00:48:36.200,1557967716200,0.97,ON_BICYCLE,94,0.8
2019-05-16 00:48:52.300,1557967732300,0.97,ON_BICYCLE,98,0.8
2019-05-16 00:49:07.400,1557967747400,0.97,ON_BICYCLE,102,0.8
2019-05-16 00:49:22.500,1557967762500,0.97,ON_BICYCLE,106,0.8
2019-05-16 00:49:38.200,1557967778200,0.97,ON_BICYCLE,110,0.8
2019-05-16 00:49:54.700,1557967794700,0.97,ON_BICYCLE,114,0.8
2019-05-16 00:50:10.200,1557967810200,0.99,ON_BICYCLE,118,0.8
2019-05-16 00:50:26.200,1557967826200,0.97,ON_BICYCLE,120,0.8
2019-05-16 00:50:42.400,1557967842400,0.97,ON_BICYCLE,124,0.8
2019-05-16 00:50:57.400,1557967857400,0.97,ON_BICYCLE,128,0.8
2019-05-16 00:51:13.200,1557967873200,0.97,ON_BICYCLE,132,0.8
2019-05-16 00:51:28.300,1557967888300,0.97,ON_BICYCLE,136,0.8
2019-05-16 00:51:43.400,1557967903400,0.97,ON_BICYCLE,140,0.8
2019-05-16 00:51:58.500,1557967918500,0.97,ON_BICYCLE,144,0.8
2019-05-16 00:52:14.000,1557967934000,0.97,ON_BICYCLE,148,0.8
2019-05-16 00:52:29.300,1557967949300,0.97,ON_BICYCLE,152,0.8
2019-05-16 00:52:44.500,1557967964500,0.97,ON_BICYCLE,156,0.8
2019-05-16 00:52:52.100,1557967972100,1.0,TILTING,160,
2019-05-16 00:52:59.700,1557967979700,0.96,ON_BICYCLE,161,0.8
2019-05-16 00:53:30.100,1557968010100,0.88,ON_FOOT,173,0.1
2019-05-16 00:53:30.100,1557968010100,0.88,WALKING,174,0.5
2019-05-16 00:53:45.600,1557968025600,0.92,ON_FOOT,180,0.1
2019-05-16 00:53:45.600,1557968025600,0.92,WALKING,181,0.5
2019-05-16 00:54:32.300,1557968072300,0.81,ON_FOOT,198,0.1
2019-05-16 00:54:32.300,1557968072300,0.81,WALKING,199,0.5
2019-05-16 00:54:40.400,1557968080400,1.0,TILTING,205,
2019-05-16 00:55:12.900,1557968112900,0.89,ON_FOOT,213,0.1
2019-05-16 00:55:12.900,1557968112900,0.89,WALKING,214,0.5
2019-05-16 00:55:18.600,1557968118600,1.0,TILTING,217,
